iter : 0  psnr : 29.71554336061955  ssim : 0.8001198900988252
iter : 1  psnr : 29.74729930695572  ssim : 0.8002687425875371
iter : 2  psnr : 29.721778447614334  ssim : 0.7988301151309479
iter : 3  psnr : 29.746411774840993  ssim : 0.8008842394061443
iter : 4  psnr : 29.794036492291095  ssim : 0.8030166791372254
iter : 5  psnr : 29.765858979232924  ssim : 0.8015418384383959
iter : 6  psnr : 29.87087054631467  ssim : 0.8058604748952004
iter : 7  psnr : 29.92193276421677  ssim : 0.8084154357239722
iter : 8  psnr : 29.981208397155946  ssim : 0.8101057443823272
iter : 9  psnr : 30.076774958062813  ssim : 0.812852696569265
iter : 10  psnr : 30.109588409847973  ssim : 0.8140307212108893
iter : 11  psnr : 30.26744649598755  ssim : 0.8188256409725908
iter : 12  psnr : 30.4573906442843  ssim : 0.824801961665515
iter : 13  psnr : 30.72585291925622  ssim : 0.8333788813598049
iter : 14  psnr : 31.029464555242086  ssim : 0.8420090382629387
iter : 15  psnr : 31.30463654002149  ssim : 0.8490606068906348
iter : 16  psnr : 31.529375344777897  ssim : 0.8557653279406078
iter : 17  psnr : 31.792504799551395  ssim : 0.8624432266080199
iter : 18  psnr : 31.89635912517754  ssim : 0.8646075546687899
iter : 19  psnr : 32.01825219921573  ssim : 0.8678082822199369
iter : 20  psnr : 32.176538086528836  ssim : 0.8715753012934376
iter : 21  psnr : 32.33715578149641  ssim : 0.8747651618148108
iter : 22  psnr : 32.46290837050406  ssim : 0.8768858836323845
iter : 23  psnr : 32.56172833612166  ssim : 0.8784315529125857
iter : 24  psnr : 32.62988781736655  ssim : 0.8794832009567559
iter : 25  psnr : 32.664310792771296  ssim : 0.8800198619648429
iter : 26  psnr : 32.690598247880885  ssim : 0.8805775654436112
iter : 27  psnr : 32.72991484785517  ssim : 0.8815690894048891
iter : 28  psnr : 32.78024393502244  ssim : 0.8827278137201062
iter : 29  psnr : 32.82898464142753  ssim : 0.8838309725644337
iter : 30  psnr : 32.874466898723036  ssim : 0.884960917640519
iter : 31  psnr : 32.924714225675345  ssim : 0.8862709108220878
iter : 32  psnr : 32.97251053025847  ssim : 0.8875405980636738
iter : 33  psnr : 33.01996359504737  ssim : 0.8887962194521695
iter : 34  psnr : 33.062677849265455  ssim : 0.8898983898612403
