iter : 0  psnr : 26.802038690054523  ssim : 0.751015372095546
iter : 1  psnr : 26.818366905989656  ssim : 0.7517142704679112
iter : 2  psnr : 26.85277473306882  ssim : 0.7538607999520588
iter : 3  psnr : 26.88846885340126  ssim : 0.7541563985806161
iter : 4  psnr : 26.842541437737815  ssim : 0.7514206312615945
iter : 5  psnr : 26.983480657836473  ssim : 0.7575772375269932
iter : 6  psnr : 27.077982536502855  ssim : 0.761321978035242
iter : 7  psnr : 27.194242577909648  ssim : 0.7652485808190211
iter : 8  psnr : 27.320338716004542  ssim : 0.7695131471012803
iter : 9  psnr : 27.42577904656898  ssim : 0.7719306863128849
iter : 10  psnr : 27.658862306982115  ssim : 0.7795406934065724
iter : 11  psnr : 27.899299988255528  ssim : 0.7870542391757517
iter : 12  psnr : 28.144737296067433  ssim : 0.7950244936354182
iter : 13  psnr : 28.354702532662643  ssim : 0.8016209528199735
iter : 14  psnr : 28.40741745996408  ssim : 0.8036116598012193
iter : 15  psnr : 28.374764042547937  ssim : 0.8006476933007389
iter : 16  psnr : 28.44553750940569  ssim : 0.8034617771003716
iter : 17  psnr : 28.63716139197962  ssim : 0.8115904089309637
iter : 18  psnr : 28.93890011458641  ssim : 0.8215405926104902
iter : 19  psnr : 29.220204027366602  ssim : 0.8300053730112544
iter : 20  psnr : 29.466233102290744  ssim : 0.8370633268517514
iter : 21  psnr : 29.66300969693296  ssim : 0.8425176937958425
iter : 22  psnr : 29.834151349464427  ssim : 0.8471189099986847
iter : 23  psnr : 29.975443062834955  ssim : 0.8509284501745078
iter : 24  psnr : 30.096627595173892  ssim : 0.8541710648877158
iter : 25  psnr : 30.201645995111317  ssim : 0.8569039320137785
iter : 26  psnr : 30.29769012076447  ssim : 0.8593766582407429
iter : 27  psnr : 30.379935138771813  ssim : 0.861489339733478
iter : 28  psnr : 30.458447979545916  ssim : 0.8634904324689796
iter : 29  psnr : 30.52001377604439  ssim : 0.8650738537385809
iter : 30  psnr : 30.57901714763996  ssim : 0.8665549062198077
iter : 31  psnr : 30.633917342578407  ssim : 0.867899649650047
iter : 32  psnr : 30.681319677847515  ssim : 0.8690246487516222
iter : 33  psnr : 30.72027271916726  ssim : 0.8699182256055381
iter : 34  psnr : 30.753936349677314  ssim : 0.8706725677078289
iter : 35  psnr : 30.78575306774197  ssim : 0.8713818121911684
iter : 36  psnr : 30.813316454484543  ssim : 0.8720060831666622
iter : 37  psnr : 30.837772470549886  ssim : 0.87254182823394
iter : 38  psnr : 30.859123075966597  ssim : 0.8730044347708547
iter : 39  psnr : 30.877587238526793  ssim : 0.8734096320346804
iter : 40  psnr : 30.89346521034614  ssim : 0.8737564435432107
iter : 41  psnr : 30.90799037391118  ssim : 0.8740528605452373
iter : 42  psnr : 30.920592076014927  ssim : 0.8743039339206123
iter : 43  psnr : 30.932320099541812  ssim : 0.874542301474776
iter : 44  psnr : 30.94399829852638  ssim : 0.8747794748347862
iter : 45  psnr : 30.954972779175435  ssim : 0.8749951451613579
iter : 46  psnr : 30.96462630237102  ssim : 0.8751781064364368
iter : 47  psnr : 30.97312403882059  ssim : 0.8753411603470517
iter : 48  psnr : 30.980858418323063  ssim : 0.8754962546053243
iter : 49  psnr : 30.98824538075675  ssim : 0.8756579353001789
iter : 50  psnr : 30.99511318004093  ssim : 0.8758084599459333
iter : 51  psnr : 31.001632151482767  ssim : 0.8759439581140767
iter : 52  psnr : 31.007520799764364  ssim : 0.8760618099945569
iter : 53  psnr : 31.013432606646113  ssim : 0.8761733630030404
iter : 54  psnr : 31.018952366679017  ssim : 0.8762737234680785
iter : 55  psnr : 31.024136758265357  ssim : 0.8763668988415613
iter : 56  psnr : 31.02887933444771  ssim : 0.8764532745385896
iter : 57  psnr : 31.03333432117951  ssim : 0.8765330219609644
iter : 58  psnr : 31.03703341082525  ssim : 0.8765982024383282
iter : 59  psnr : 31.040460865002455  ssim : 0.8766538834250798
iter : 60  psnr : 31.044014476840083  ssim : 0.8767104050873942
iter : 61  psnr : 31.047718316596434  ssim : 0.8767699014524106
iter : 62  psnr : 31.05144084688506  ssim : 0.8768264921378179
iter : 63  psnr : 31.054702121351887  ssim : 0.8768749236661384
iter : 64  psnr : 31.057611808152803  ssim : 0.8769186828516545
iter : 65  psnr : 31.060102656219357  ssim : 0.8769540456324115
iter : 66  psnr : 31.062515554724484  ssim : 0.8769885342112662
iter : 67  psnr : 31.064800661315925  ssim : 0.8770193289322149
iter : 68  psnr : 31.06681047035196  ssim : 0.8770427643283899
iter : 69  psnr : 31.06842000844633  ssim : 0.8770597995289166
