iter : 0  psnr : 29.279349427027313  ssim : 0.7660434816822368
iter : 1  psnr : 29.267143269217712  ssim : 0.7641933275670022
iter : 2  psnr : 29.274854567952207  ssim : 0.7638090534136909
iter : 3  psnr : 29.274410301683798  ssim : 0.7636135574226329
iter : 4  psnr : 29.33127807731818  ssim : 0.7667178893708816
iter : 5  psnr : 29.372951791390605  ssim : 0.7691940620373782
iter : 6  psnr : 29.339850031321596  ssim : 0.7679542559627949
iter : 7  psnr : 29.485422394332083  ssim : 0.7742571188018468
iter : 8  psnr : 29.808066730774115  ssim : 0.788489118107682
iter : 9  psnr : 30.189935053025426  ssim : 0.8038034745965753
iter : 10  psnr : 30.62754483917105  ssim : 0.8204016497543408
iter : 11  psnr : 31.107576236892115  ssim : 0.8378337666281613
iter : 12  psnr : 31.590046527642848  ssim : 0.853972834058135
iter : 13  psnr : 32.006748965168256  ssim : 0.8657077817631407
iter : 14  psnr : 32.15621737324356  ssim : 0.8694091955661012
iter : 15  psnr : 32.264483613714646  ssim : 0.8727729122261991
iter : 16  psnr : 32.42824115800664  ssim : 0.8768967329769907
iter : 17  psnr : 32.598476616760685  ssim : 0.8810536548264475
iter : 18  psnr : 32.781805202481735  ssim : 0.8854314159047513
iter : 19  psnr : 32.948279370459346  ssim : 0.8889771709810886
iter : 20  psnr : 33.112364881452166  ssim : 0.8924444897022984
iter : 21  psnr : 33.25962489142186  ssim : 0.8956170076252099
iter : 22  psnr : 33.392996345556284  ssim : 0.8984871375243936
iter : 23  psnr : 33.49532289514332  ssim : 0.9007358983002374
iter : 24  psnr : 33.58890842128668  ssim : 0.9027422881970942
iter : 25  psnr : 33.68770336914939  ssim : 0.9047933735342972
iter : 26  psnr : 33.7748106697935  ssim : 0.9065536258401365
iter : 27  psnr : 33.85117943963495  ssim : 0.9080585574288834
iter : 28  psnr : 33.927469065301956  ssim : 0.9095182213255656
iter : 29  psnr : 34.00022378381385  ssim : 0.9108921080353151
iter : 30  psnr : 34.0653057265149  ssim : 0.9121135963669694
iter : 31  psnr : 34.12318105086624  ssim : 0.9131899316691195
iter : 32  psnr : 34.17196436864543  ssim : 0.9141023294075191
iter : 33  psnr : 34.21056796458285  ssim : 0.9148187249293322
iter : 34  psnr : 34.244495553749545  ssim : 0.9154381250685705
iter : 35  psnr : 34.274198387936366  ssim : 0.915960161729635
iter : 36  psnr : 34.301453786240096  ssim : 0.9164278672875321
iter : 37  psnr : 34.32321226265692  ssim : 0.9168105893465335
iter : 38  psnr : 34.34406239357457  ssim : 0.9171706646554121
iter : 39  psnr : 34.36331078058985  ssim : 0.9174898017044723
iter : 40  psnr : 34.380779084253724  ssim : 0.9177798195199524
iter : 41  psnr : 34.39689547357444  ssim : 0.9180317878376286
iter : 42  psnr : 34.410932048798415  ssim : 0.9182400589978263
iter : 43  psnr : 34.42393859278813  ssim : 0.9184326202446225
iter : 44  psnr : 34.4348492355302  ssim : 0.9185976554883439
iter : 45  psnr : 34.44571875226395  ssim : 0.9187606208835907
iter : 46  psnr : 34.45593768920607  ssim : 0.9189112698293522
iter : 47  psnr : 34.46505639346156  ssim : 0.9190435688587889
iter : 48  psnr : 34.472615545349555  ssim : 0.919155298545627
iter : 49  psnr : 34.480642941118525  ssim : 0.9192774057064126
iter : 50  psnr : 34.48792958512933  ssim : 0.9193837735152913
iter : 51  psnr : 34.49412009472163  ssim : 0.9194684215114051
iter : 52  psnr : 34.49973707874322  ssim : 0.9195458218151813
iter : 53  psnr : 34.50573971657653  ssim : 0.9196254003289823
iter : 54  psnr : 34.51123672766927  ssim : 0.9196993022209694
