iter : 0  psnr : 29.59986789869346  ssim : 0.7966046643210217
iter : 1  psnr : 29.505634739140554  ssim : 0.7935677473149865
iter : 2  psnr : 29.539828812645226  ssim : 0.7961271488540754
iter : 3  psnr : 29.5075541927633  ssim : 0.795855512415218
iter : 4  psnr : 29.45499024562121  ssim : 0.794235395668762
iter : 5  psnr : 29.547825198290276  ssim : 0.7989822091136369
iter : 6  psnr : 29.66765323822512  ssim : 0.805600119903627
iter : 7  psnr : 29.740600539637406  ssim : 0.8102803311721927
iter : 8  psnr : 29.8004289895235  ssim : 0.8132225543091309
iter : 9  psnr : 30.105098116301818  ssim : 0.8263329336139398
iter : 10  psnr : 30.434862036438698  ssim : 0.8402325734169764
iter : 11  psnr : 30.781237769655103  ssim : 0.8530676876234712
iter : 12  psnr : 31.14805407977217  ssim : 0.8656330517723877
iter : 13  psnr : 31.515820995111618  ssim : 0.8772509067731978
iter : 14  psnr : 31.820169457483097  ssim : 0.8857659243652344
iter : 15  psnr : 32.07696261168153  ssim : 0.8922505636059394
iter : 16  psnr : 32.31352789220048  ssim : 0.8975682530344864
iter : 17  psnr : 32.514177740354  ssim : 0.9016819792133431
iter : 18  psnr : 32.686696987573306  ssim : 0.9050423806727337
iter : 19  psnr : 32.83406995200459  ssim : 0.9077968588367671
iter : 20  psnr : 32.95537990068675  ssim : 0.9099377756531932
iter : 21  psnr : 33.06623018683392  ssim : 0.9118485437581929
iter : 22  psnr : 33.15445526556399  ssim : 0.9133565189167717
iter : 23  psnr : 33.225303655931604  ssim : 0.9145509333611695
iter : 24  psnr : 33.28282291105613  ssim : 0.9154993100238074
iter : 25  psnr : 33.335490036625494  ssim : 0.9163799840761255
iter : 26  psnr : 33.37846209554198  ssim : 0.9171061812279219
iter : 27  psnr : 33.41680669594946  ssim : 0.9177204110422719
iter : 28  psnr : 33.448540655430094  ssim : 0.9181932689465133
iter : 29  psnr : 33.478793671677714  ssim : 0.9186314021578141
iter : 30  psnr : 33.50335718750052  ssim : 0.9189772717604101
iter : 31  psnr : 33.52125443448268  ssim : 0.919231591753702
iter : 32  psnr : 33.53643139967207  ssim : 0.9194601208234056
iter : 33  psnr : 33.54773737565233  ssim : 0.919628598738257
