iter : 0  psnr : 27.788779419849273  ssim : 0.7629455682951116
iter : 1  psnr : 27.810879493695882  ssim : 0.7630887258179785
iter : 2  psnr : 27.874634888750283  ssim : 0.767110332233869
iter : 3  psnr : 27.910987257662043  ssim : 0.7682433853701176
iter : 4  psnr : 28.027109714294127  ssim : 0.7718670356403111
iter : 5  psnr : 28.214265528841267  ssim : 0.7797804181467893
iter : 6  psnr : 28.283787295206317  ssim : 0.7825341259080444
iter : 7  psnr : 28.35492799862095  ssim : 0.7846133714868033
iter : 8  psnr : 28.463050275157112  ssim : 0.7880005450245315
iter : 9  psnr : 28.670702309639307  ssim : 0.7953519341755276
iter : 10  psnr : 28.825989099030753  ssim : 0.799614665075375
iter : 11  psnr : 28.98793866108958  ssim : 0.8047134352686706
iter : 12  psnr : 29.208901986117553  ssim : 0.8131144885259862
iter : 13  psnr : 29.522914368943873  ssim : 0.8250466178550928
iter : 14  psnr : 29.892848730744184  ssim : 0.837436991842312
iter : 15  psnr : 30.178849777521307  ssim : 0.8460530192046387
iter : 16  psnr : 30.423174550073302  ssim : 0.8527622708290213
iter : 17  psnr : 30.6343220228371  ssim : 0.8582412822800406
iter : 18  psnr : 30.84119762705765  ssim : 0.8632359918994609
iter : 19  psnr : 31.027209462223418  ssim : 0.8675644481099534
iter : 20  psnr : 31.189239167997318  ssim : 0.8712158153350542
iter : 21  psnr : 31.322712247616277  ssim : 0.8741147270153223
iter : 22  psnr : 31.446994056486  ssim : 0.8768115203771564
iter : 23  psnr : 31.569213157689386  ssim : 0.8794046196904396
iter : 24  psnr : 31.673562699883703  ssim : 0.8816112686621392
iter : 25  psnr : 31.782812769835886  ssim : 0.8839355727846878
iter : 26  psnr : 31.87309123023079  ssim : 0.885851751668536
iter : 27  psnr : 31.95128132994921  ssim : 0.8874923040865598
iter : 28  psnr : 32.025651261486146  ssim : 0.8890519159348018
iter : 29  psnr : 32.09104538050792  ssim : 0.8904361362709328
iter : 30  psnr : 32.14726881208701  ssim : 0.8916374364149549
iter : 31  psnr : 32.19845992612529  ssim : 0.8927344469833736
iter : 32  psnr : 32.24355627072732  ssim : 0.8936892944711547
iter : 33  psnr : 32.28327878572424  ssim : 0.8945074363795307
iter : 34  psnr : 32.31754128336627  ssim : 0.8951922385285928
iter : 35  psnr : 32.34590451466413  ssim : 0.8957694043159642
iter : 36  psnr : 32.372966169407405  ssim : 0.8963112602186611
iter : 37  psnr : 32.39564553367067  ssim : 0.8967365679808629
iter : 38  psnr : 32.41556338251585  ssim : 0.8970877948773809
iter : 39  psnr : 32.43372345746173  ssim : 0.8974060729594644
iter : 40  psnr : 32.4486184195177  ssim : 0.8976676278046634
iter : 41  psnr : 32.46341526840733  ssim : 0.897933398885227
iter : 42  psnr : 32.477818037536316  ssim : 0.8981954293002163
iter : 43  psnr : 32.49019835572384  ssim : 0.8984158606775285
iter : 44  psnr : 32.50134611657443  ssim : 0.8986102026115447
iter : 45  psnr : 32.51019533750275  ssim : 0.8987780957976839
iter : 46  psnr : 32.519166472652  ssim : 0.8989470496633909
iter : 47  psnr : 32.52773892501657  ssim : 0.8990964315789768
iter : 48  psnr : 32.5354457057939  ssim : 0.8992304147791002
iter : 49  psnr : 32.54259278058928  ssim : 0.8993541177494319
iter : 50  psnr : 32.54958874792465  ssim : 0.899476449675124
iter : 51  psnr : 32.55639253415011  ssim : 0.8996007462344109
iter : 52  psnr : 32.562175515632234  ssim : 0.8997055640888613
iter : 53  psnr : 32.567223060158  ssim : 0.8997888735710154
iter : 54  psnr : 32.57132918454198  ssim : 0.8998511111423294
iter : 55  psnr : 32.575042224890545  ssim : 0.8999097047496782
iter : 56  psnr : 32.57820930843335  ssim : 0.8999642674616266
iter : 57  psnr : 32.581548270610085  ssim : 0.9000211215891838
iter : 58  psnr : 32.58485972946519  ssim : 0.900073076575041
iter : 59  psnr : 32.58780919015716  ssim : 0.900118147173644
iter : 60  psnr : 32.59025215751557  ssim : 0.9001546991323216
iter : 61  psnr : 32.59265298445258  ssim : 0.900193296530149
iter : 62  psnr : 32.594878401600454  ssim : 0.9002273744920505
iter : 63  psnr : 32.59677391614863  ssim : 0.9002559486265889
iter : 64  psnr : 32.59805583220672  ssim : 0.900278236399235
iter : 65  psnr : 32.59915971967722  ssim : 0.9002954241320034
iter : 66  psnr : 32.60019110861591  ssim : 0.9003099571703844
iter : 67  psnr : 32.60122546321742  ssim : 0.900327115277962
iter : 68  psnr : 32.60227699504155  ssim : 0.900344637680861
iter : 69  psnr : 32.60321242265234  ssim : 0.9003541611822471
iter : 70  psnr : 32.603843576593256  ssim : 0.9003518913149376
iter : 71  psnr : 32.60447838525154  ssim : 0.9003511323890567
iter : 72  psnr : 32.605251551027  ssim : 0.9003584941742819
iter : 73  psnr : 32.606155831485225  ssim : 0.900371760293396
iter : 74  psnr : 32.60682702095931  ssim : 0.9003797409339349
iter : 75  psnr : 32.60744830259107  ssim : 0.9003881289032312
iter : 76  psnr : 32.6080192246104  ssim : 0.9003955074406307
iter : 77  psnr : 32.608676645482284  ssim : 0.9004039378301285
iter : 78  psnr : 32.60929578429909  ssim : 0.9004127237703936
iter : 79  psnr : 32.61002638503602  ssim : 0.9004250802732339
iter : 80  psnr : 32.61081469843268  ssim : 0.9004391857195768
iter : 81  psnr : 32.61132244255113  ssim : 0.9004491601478132
iter : 82  psnr : 32.61182584984689  ssim : 0.9004591527411389
iter : 83  psnr : 32.61268474426176  ssim : 0.9004750802688939
iter : 84  psnr : 32.61335260514167  ssim : 0.9004863944190235
iter : 85  psnr : 32.61361037106863  ssim : 0.9004879517763944
iter : 86  psnr : 32.61380675757073  ssim : 0.9004864681596161
iter : 87  psnr : 32.6143706965733  ssim : 0.9004918736132153
iter : 88  psnr : 32.61492622953169  ssim : 0.9004999775986038
iter : 89  psnr : 32.61533418944876  ssim : 0.900507858881769
iter : 90  psnr : 32.61578324069451  ssim : 0.9005161847246613
iter : 91  psnr : 32.616018130734375  ssim : 0.9005194192941938
iter : 92  psnr : 32.61622641507664  ssim : 0.9005216184750753
iter : 93  psnr : 32.61661356360425  ssim : 0.9005248780571898
iter : 94  psnr : 32.61695863371625  ssim : 0.9005270949995124
iter : 95  psnr : 32.61719887949754  ssim : 0.900527025613728
iter : 96  psnr : 32.617451600222935  ssim : 0.9005262138540158
iter : 97  psnr : 32.61770824279629  ssim : 0.9005256251235892
iter : 98  psnr : 32.61793328827642  ssim : 0.9005262338535158
iter : 99  psnr : 32.61783442219875  ssim : 0.9005243715925269
iter : 100  psnr : 32.617647268139685  ssim : 0.9005216680475012
iter : 101  psnr : 32.61759353924427  ssim : 0.9005214280446822
iter : 102  psnr : 32.61762271803424  ssim : 0.9005241209529917
iter : 103  psnr : 32.61750372425814  ssim : 0.9005251593062119
iter : 104  psnr : 32.6173096939964  ssim : 0.9005230815792958
iter : 105  psnr : 32.61710189181435  ssim : 0.9005169977052414
iter : 106  psnr : 32.61687446731315  ssim : 0.9005091653869893
iter : 107  psnr : 32.61671843614525  ssim : 0.9005044232722872
iter : 108  psnr : 32.61662238716824  ssim : 0.9005009265503787
iter : 109  psnr : 32.61645100001112  ssim : 0.9004957791520614
iter : 110  psnr : 32.61614581924489  ssim : 0.9004882050665839
iter : 111  psnr : 32.615940465146814  ssim : 0.900481327745624
iter : 112  psnr : 32.61605564944385  ssim : 0.9004798024278055
iter : 113  psnr : 32.616108132170154  ssim : 0.9004786517096296
iter : 114  psnr : 32.616002763025314  ssim : 0.9004769102413913
iter : 115  psnr : 32.6158074304325  ssim : 0.900473665158378
iter : 116  psnr : 32.61557449194879  ssim : 0.9004691109208451
iter : 117  psnr : 32.61540391882675  ssim : 0.9004655220540944
iter : 118  psnr : 32.615444013975846  ssim : 0.9004647333083857
iter : 119  psnr : 32.615581348411666  ssim : 0.9004663796704906
