iter : 0  psnr : 29.158373920665284  ssim : 0.7803301511959921
iter : 1  psnr : 29.18724863035611  ssim : 0.7817039141192583
iter : 2  psnr : 29.28716229244026  ssim : 0.7862372792571809
iter : 3  psnr : 29.284230341454688  ssim : 0.7882863386563956
iter : 4  psnr : 29.42362762860021  ssim : 0.7961973542605173
iter : 5  psnr : 29.536003838332206  ssim : 0.8023045463602466
iter : 6  psnr : 29.683228295316113  ssim : 0.8101412409345454
iter : 7  psnr : 29.86870157629779  ssim : 0.8190564930234389
iter : 8  psnr : 30.073197432503477  ssim : 0.8279848324430613
iter : 9  psnr : 30.323794495586824  ssim : 0.8375453974356913
iter : 10  psnr : 30.642055614288314  ssim : 0.8489373708353444
iter : 11  psnr : 30.9709872323648  ssim : 0.8599418810317576
iter : 12  psnr : 31.311317821668943  ssim : 0.8700905605468736
iter : 13  psnr : 31.63938097484134  ssim : 0.8788700950405619
iter : 14  psnr : 31.935252723675287  ssim : 0.8857476534567743
iter : 15  psnr : 32.203232363562215  ssim : 0.8912123089475965
iter : 16  psnr : 32.42704453654401  ssim : 0.895340841281667
iter : 17  psnr : 32.61241512525914  ssim : 0.8985586114595103
iter : 18  psnr : 32.777002707175  ssim : 0.9012615519565712
iter : 19  psnr : 32.911428322234016  ssim : 0.9033881479514787
iter : 20  psnr : 33.030056333176326  ssim : 0.9052157781485491
iter : 21  psnr : 33.12637629325681  ssim : 0.9067121319611636
iter : 22  psnr : 33.21289050674686  ssim : 0.9080537748356659
iter : 23  psnr : 33.28378638840178  ssim : 0.9091557725824846
iter : 24  psnr : 33.34663950577181  ssim : 0.9101354626032963
iter : 25  psnr : 33.40390179496078  ssim : 0.9110514450430336
iter : 26  psnr : 33.45404504149629  ssim : 0.9118548773336423
iter : 27  psnr : 33.49963650264577  ssim : 0.9125749772776698
iter : 28  psnr : 33.53969088811015  ssim : 0.9131962992099641
iter : 29  psnr : 33.57619775121045  ssim : 0.9137501209444447
iter : 30  psnr : 33.60600433534302  ssim : 0.9142134727341458
iter : 31  psnr : 33.62866888557853  ssim : 0.9145583916327243
iter : 32  psnr : 33.64920826350845  ssim : 0.9148550494570917
iter : 33  psnr : 33.66771298977704  ssim : 0.9151129174046074
iter : 34  psnr : 33.68433860041246  ssim : 0.9153461422967015
iter : 35  psnr : 33.69781509042212  ssim : 0.9155305774933775
iter : 36  psnr : 33.70895827998126  ssim : 0.9156677028995603
iter : 37  psnr : 33.719452068381074  ssim : 0.9157901593663359
iter : 38  psnr : 33.72900290742213  ssim : 0.9159029564807227
iter : 39  psnr : 33.73681753241834  ssim : 0.9159960314900043
iter : 40  psnr : 33.74295528322784  ssim : 0.916054922366844
iter : 41  psnr : 33.74858448586297  ssim : 0.9161059310079698
iter : 42  psnr : 33.754128903405686  ssim : 0.9161555632300354
iter : 43  psnr : 33.759538321391965  ssim : 0.9162006273296694
iter : 44  psnr : 33.764235149971014  ssim : 0.9162489451531666
iter : 45  psnr : 33.76922828018836  ssim : 0.9163093936828351
iter : 46  psnr : 33.774247854596624  ssim : 0.9163707877436973
iter : 47  psnr : 33.778644914235535  ssim : 0.916424143980236
iter : 48  psnr : 33.78247099950807  ssim : 0.9164683182825503
iter : 49  psnr : 33.786250823869565  ssim : 0.9165061593253201
iter : 50  psnr : 33.78987846370335  ssim : 0.9165452443865921
iter : 51  psnr : 33.793394633881555  ssim : 0.9165846264951553
iter : 52  psnr : 33.79732049387201  ssim : 0.9166305624803842
iter : 53  psnr : 33.8009058937285  ssim : 0.9166754355058458
iter : 54  psnr : 33.804095384259625  ssim : 0.9167093676942518
iter : 55  psnr : 33.80666673620243  ssim : 0.9167374614506745
iter : 56  psnr : 33.80905998662902  ssim : 0.9167666269842304
iter : 57  psnr : 33.8113790684456  ssim : 0.9167933235753524
iter : 58  psnr : 33.81341276646379  ssim : 0.9168127147828043
iter : 59  psnr : 33.81539018204002  ssim : 0.9168288797108091
iter : 60  psnr : 33.817301375274475  ssim : 0.9168425562958987
iter : 61  psnr : 33.81905956126445  ssim : 0.9168520912157552
iter : 62  psnr : 33.820586910827664  ssim : 0.9168599388151499
iter : 63  psnr : 33.82190249018003  ssim : 0.9168698177075719
iter : 64  psnr : 33.82287234116614  ssim : 0.9168774620874872
iter : 65  psnr : 33.823738315502546  ssim : 0.916885146491039
iter : 66  psnr : 33.824249366787626  ssim : 0.9168863488971306
iter : 67  psnr : 33.82445813837933  ssim : 0.9168854181836955
iter : 68  psnr : 33.82465548976835  ssim : 0.9168846436263606
iter : 69  psnr : 33.824682965455196  ssim : 0.9168774724639619
iter : 70  psnr : 33.82469806855666  ssim : 0.9168683732126413
iter : 71  psnr : 33.82473053686941  ssim : 0.9168656273850181
iter : 72  psnr : 33.82457346049214  ssim : 0.9168641543240335
iter : 73  psnr : 33.82439775751699  ssim : 0.9168589038051723
iter : 74  psnr : 33.82426695049777  ssim : 0.9168483136131659
iter : 75  psnr : 33.82426354097075  ssim : 0.9168413840867162
iter : 76  psnr : 33.82448889529557  ssim : 0.9168387498606015
iter : 77  psnr : 33.82491263837205  ssim : 0.9168384903440843
iter : 78  psnr : 33.825284011358086  ssim : 0.9168386029062207
iter : 79  psnr : 33.82557819706812  ssim : 0.9168398102864993
iter : 80  psnr : 33.82586902662675  ssim : 0.9168424404659458
iter : 81  psnr : 33.82632379033942  ssim : 0.9168489181485165
iter : 82  psnr : 33.8267408113864  ssim : 0.9168547594501786
iter : 83  psnr : 33.826899316142615  ssim : 0.9168547120433129
iter : 84  psnr : 33.827175063122205  ssim : 0.9168549941313507
iter : 85  psnr : 33.8278105561151  ssim : 0.9168578204259438
iter : 86  psnr : 33.82855773308481  ssim : 0.916859350924005
iter : 87  psnr : 33.8292877732092  ssim : 0.9168614994484184
iter : 88  psnr : 33.82979138424351  ssim : 0.9168620175783024
iter : 89  psnr : 33.830092685009  ssim : 0.9168605941890523
iter : 90  psnr : 33.830269772438314  ssim : 0.9168574867508033
iter : 91  psnr : 33.83042449555683  ssim : 0.9168546359858846
iter : 92  psnr : 33.83063659790788  ssim : 0.9168537744092633
iter : 93  psnr : 33.83084967438329  ssim : 0.9168509185587319
iter : 94  psnr : 33.831011027443296  ssim : 0.9168472926169625
iter : 95  psnr : 33.831212300912966  ssim : 0.9168464593769914
iter : 96  psnr : 33.83147870200565  ssim : 0.9168456692572381
iter : 97  psnr : 33.83171108439599  ssim : 0.916841977723421
iter : 98  psnr : 33.83189488328662  ssim : 0.9168382353514419
iter : 99  psnr : 33.831990845697256  ssim : 0.9168336094670162
iter : 100  psnr : 33.83198134465429  ssim : 0.9168259336934954
