iter : 0  psnr : 27.73425440559185  ssim : 0.7547527005761737
iter : 1  psnr : 27.77868060989629  ssim : 0.7562374120735135
iter : 2  psnr : 27.823593579836754  ssim : 0.7576544750481842
iter : 3  psnr : 27.81482353838717  ssim : 0.7571695934430857
iter : 4  psnr : 27.922939623176887  ssim : 0.7621533019586372
iter : 5  psnr : 28.055996929572288  ssim : 0.7676842418750677
iter : 6  psnr : 28.154313248165668  ssim : 0.7712919290424428
iter : 7  psnr : 28.255212519227875  ssim : 0.77605111788833
iter : 8  psnr : 28.326960329505887  ssim : 0.7794908312345081
iter : 9  psnr : 28.425879997931357  ssim : 0.7835295181915537
iter : 10  psnr : 28.53175006633741  ssim : 0.788988853435548
iter : 11  psnr : 28.67219960210768  ssim : 0.7960181696160932
iter : 12  psnr : 28.837585266504124  ssim : 0.804381801984058
iter : 13  psnr : 28.908665883992676  ssim : 0.8098456829435113
iter : 14  psnr : 29.065738270307882  ssim : 0.8153117489593878
iter : 15  psnr : 29.264978784219494  ssim : 0.8223625352849686
iter : 16  psnr : 29.46918033101283  ssim : 0.8292769330887753
iter : 17  psnr : 29.681171252619066  ssim : 0.8363086683104387
iter : 18  psnr : 29.792423733689848  ssim : 0.8416517319083691
iter : 19  psnr : 29.944285359547543  ssim : 0.8479917350476172
iter : 20  psnr : 30.15055452178727  ssim : 0.854904438240547
iter : 21  psnr : 30.292185013288066  ssim : 0.8603078453331016
iter : 22  psnr : 30.479853652634358  ssim : 0.8658769833459794
iter : 23  psnr : 30.701012934532343  ssim : 0.8714845835346121
iter : 24  psnr : 30.89315784946201  ssim : 0.8758321834190491
iter : 25  psnr : 31.064754230391834  ssim : 0.8794571682583271
iter : 26  psnr : 31.218176959573572  ssim : 0.8826286902029987
iter : 27  psnr : 31.36558384853839  ssim : 0.8856985182516307
iter : 28  psnr : 31.492230627286972  ssim : 0.88832277545097
iter : 29  psnr : 31.60231876103669  ssim : 0.8905883305492955
iter : 30  psnr : 31.6977571633044  ssim : 0.8925161512802672
iter : 31  psnr : 31.782355351413365  ssim : 0.8941989690783354
iter : 32  psnr : 31.862347459432158  ssim : 0.895791771582742
iter : 33  psnr : 31.929171806677164  ssim : 0.8971177509337328
iter : 34  psnr : 31.989983184361996  ssim : 0.8983277973956295
iter : 35  psnr : 32.0381651282717  ssim : 0.8992922974924471
iter : 36  psnr : 32.08587951289495  ssim : 0.9002261860290979
iter : 37  psnr : 32.12774180840598  ssim : 0.9010166303168422
iter : 38  psnr : 32.1644457510743  ssim : 0.9016940588562652
iter : 39  psnr : 32.197592945920675  ssim : 0.9022889859078804
iter : 40  psnr : 32.226319378063984  ssim : 0.9027831134978547
iter : 41  psnr : 32.25107097294068  ssim : 0.9032004562055769
iter : 42  psnr : 32.27245387620568  ssim : 0.9035427073091385
iter : 43  psnr : 32.291112250823474  ssim : 0.9038272611606947
iter : 44  psnr : 32.30821013778891  ssim : 0.9040853964383749
iter : 45  psnr : 32.32416530235056  ssim : 0.9043269326620726
iter : 46  psnr : 32.33840709533076  ssim : 0.9045410176839425
iter : 47  psnr : 32.3519537059927  ssim : 0.9047521922585551
iter : 48  psnr : 32.3637803461945  ssim : 0.9049410980002618
iter : 49  psnr : 32.37549670405652  ssim : 0.9051182988207195
iter : 50  psnr : 32.38607582735784  ssim : 0.905269603674415
iter : 51  psnr : 32.39522162475909  ssim : 0.9053903699417174
iter : 52  psnr : 32.40432841455274  ssim : 0.9055123940848588
iter : 53  psnr : 32.41273715920102  ssim : 0.9056298586832582
iter : 54  psnr : 32.42037204635713  ssim : 0.9057326042982423
iter : 55  psnr : 32.42731908734805  ssim : 0.9058233567305427
iter : 56  psnr : 32.43391816312959  ssim : 0.9059096643651421
iter : 57  psnr : 32.4395912264464  ssim : 0.9059835330494377
iter : 58  psnr : 32.44490882699354  ssim : 0.9060529487049019
iter : 59  psnr : 32.4500222535228  ssim : 0.9061228292272768
iter : 60  psnr : 32.45515388874438  ssim : 0.9061932933638354
iter : 61  psnr : 32.459608922253494  ssim : 0.9062508434241786
iter : 62  psnr : 32.463469295922565  ssim : 0.9062985092426947
iter : 63  psnr : 32.46742611638213  ssim : 0.9063451915860462
iter : 64  psnr : 32.4708574543032  ssim : 0.9063843101386099
iter : 65  psnr : 32.47383951937931  ssim : 0.9064151118601877
iter : 66  psnr : 32.47670291706654  ssim : 0.9064466107434773
iter : 67  psnr : 32.47981308247503  ssim : 0.906486228189744
iter : 68  psnr : 32.48285042608488  ssim : 0.9065275365099821
iter : 69  psnr : 32.48504787558743  ssim : 0.906556221964011
iter : 70  psnr : 32.48678190581357  ssim : 0.906578427529643
iter : 71  psnr : 32.488667601408515  ssim : 0.906605399100247
iter : 72  psnr : 32.49075050483724  ssim : 0.9066375311365901
iter : 73  psnr : 32.492702039323056  ssim : 0.906667553718449
iter : 74  psnr : 32.49455250490337  ssim : 0.9066952728835511
iter : 75  psnr : 32.496532654160255  ssim : 0.9067210517246841
iter : 76  psnr : 32.498244086500485  ssim : 0.9067392289536501
iter : 77  psnr : 32.49941320396167  ssim : 0.9067476799448524
iter : 78  psnr : 32.500436010336074  ssim : 0.9067544685231697
iter : 79  psnr : 32.50159833868571  ssim : 0.90676633052685
iter : 80  psnr : 32.50249616885054  ssim : 0.9067791038950519
iter : 81  psnr : 32.50324012866574  ssim : 0.9067897774940717
iter : 82  psnr : 32.50407975011432  ssim : 0.9068017374227151
iter : 83  psnr : 32.50500957722843  ssim : 0.906814833627055
iter : 84  psnr : 32.5058867757425  ssim : 0.9068264553185125
iter : 85  psnr : 32.50655302029391  ssim : 0.9068354477562646
iter : 86  psnr : 32.5069824144093  ssim : 0.906839671125842
iter : 87  psnr : 32.50737082336877  ssim : 0.9068428643809212
iter : 88  psnr : 32.507791674744745  ssim : 0.9068481528672405
iter : 89  psnr : 32.508227758253305  ssim : 0.9068559722149098
iter : 90  psnr : 32.50869068901408  ssim : 0.9068648524214155
iter : 91  psnr : 32.509216147225025  ssim : 0.9068725894851362
iter : 92  psnr : 32.50959614815493  ssim : 0.9068753217396431
iter : 93  psnr : 32.509838665720785  ssim : 0.9068753984693604
iter : 94  psnr : 32.50985410571743  ssim : 0.9068717695739479
iter : 95  psnr : 32.50967832720116  ssim : 0.9068663632489075
iter : 96  psnr : 32.50957077664438  ssim : 0.9068631618559909
iter : 97  psnr : 32.509526057456654  ssim : 0.9068596298548032
iter : 98  psnr : 32.50949972973512  ssim : 0.9068555566036416
iter : 99  psnr : 32.50966291328246  ssim : 0.9068557347780504
iter : 100  psnr : 32.50983630011962  ssim : 0.9068576253193362
iter : 101  psnr : 32.50965044559621  ssim : 0.9068522485595772
iter : 102  psnr : 32.509484899619856  ssim : 0.9068452069746484
iter : 103  psnr : 32.50952761678744  ssim : 0.9068428416727351
iter : 104  psnr : 32.509700414640236  ssim : 0.9068446000566749
iter : 105  psnr : 32.50978418036531  ssim : 0.9068452482612509
iter : 106  psnr : 32.50982509223113  ssim : 0.9068468559619766
iter : 107  psnr : 32.50988664292826  ssim : 0.9068502626494512
iter : 108  psnr : 32.50999184904685  ssim : 0.9068523994259093
iter : 109  psnr : 32.510146092322195  ssim : 0.9068523914100256
iter : 110  psnr : 32.510180823045786  ssim : 0.9068520651096275
iter : 111  psnr : 32.51018007096488  ssim : 0.9068508758390493
iter : 112  psnr : 32.51035568940781  ssim : 0.90685056393047
iter : 113  psnr : 32.510675406112135  ssim : 0.9068526519904443
iter : 114  psnr : 32.510752885511195  ssim : 0.9068527212604154
iter : 115  psnr : 32.510775930892805  ssim : 0.9068531008630841
iter : 116  psnr : 32.511092782374796  ssim : 0.9068592733532653
iter : 117  psnr : 32.511317528904904  ssim : 0.9068648789431383
iter : 118  psnr : 32.51107657272315  ssim : 0.9068605356877011
iter : 119  psnr : 32.51068266825145  ssim : 0.9068521306936301
