iter : 0  psnr : 29.226610834835025  ssim : 0.7825243873810417
iter : 1  psnr : 29.26950277844318  ssim : 0.7855785271735999
iter : 2  psnr : 29.01934922817589  ssim : 0.7757454496346985
iter : 3  psnr : 28.89262395283317  ssim : 0.7707634905992734
iter : 4  psnr : 28.989576193043213  ssim : 0.7750702092772092
iter : 5  psnr : 29.217550572319585  ssim : 0.785729342567366
iter : 6  psnr : 29.45133463018802  ssim : 0.7951396823893537
iter : 7  psnr : 29.775680722522658  ssim : 0.8080914226046986
iter : 8  psnr : 29.93834425793779  ssim : 0.8138014047982056
iter : 9  psnr : 30.165320429284144  ssim : 0.8201794997893992
iter : 10  psnr : 30.46859662769762  ssim : 0.8312222891833945
iter : 11  psnr : 30.825891308046618  ssim : 0.8442597700071617
iter : 12  psnr : 31.11221785261243  ssim : 0.8534428761843541
iter : 13  psnr : 31.33696030032089  ssim : 0.8597711290442105
iter : 14  psnr : 31.573312838955495  ssim : 0.8655051534382958
iter : 15  psnr : 31.788834502051998  ssim : 0.870065339167459
iter : 16  psnr : 31.96198465832162  ssim : 0.8735656578202365
iter : 17  psnr : 32.093111714000266  ssim : 0.8763554939344875
iter : 18  psnr : 32.213401662159306  ssim : 0.8789007212781929
iter : 19  psnr : 32.31450951126718  ssim : 0.8808482453872568
iter : 20  psnr : 32.39892377090146  ssim : 0.8823792012267571
iter : 21  psnr : 32.47644345373951  ssim : 0.8837910191813658
iter : 22  psnr : 32.54597585471354  ssim : 0.885088952104351
iter : 23  psnr : 32.60282178185232  ssim : 0.8861351262029681
iter : 24  psnr : 32.65065672190659  ssim : 0.8869916647043583
iter : 25  psnr : 32.68874050571071  ssim : 0.8876706724405707
iter : 26  psnr : 32.72103211474921  ssim : 0.8882670070758876
iter : 27  psnr : 32.74999408077758  ssim : 0.8888198414727865
iter : 28  psnr : 32.773557312125476  ssim : 0.889263965312141
iter : 29  psnr : 32.79311019161811  ssim : 0.8895958336728218
iter : 30  psnr : 32.80932384723982  ssim : 0.8898249947214716
iter : 31  psnr : 32.82301103455471  ssim : 0.8900199394872389
iter : 32  psnr : 32.835175891981685  ssim : 0.8902086676177285
iter : 33  psnr : 32.84464482794225  ssim : 0.8903391333960697
iter : 34  psnr : 32.85212213921683  ssim : 0.8904367502464258
iter : 35  psnr : 32.85872444122988  ssim : 0.8905193350743913
iter : 36  psnr : 32.86475205553563  ssim : 0.8905822330638536
iter : 37  psnr : 32.86976154710903  ssim : 0.8906307473366383
iter : 38  psnr : 32.87431606707324  ssim : 0.8906701928230426
iter : 39  psnr : 32.87791550978598  ssim : 0.8906987788266809
iter : 40  psnr : 32.880890944865286  ssim : 0.8907238512338774
iter : 41  psnr : 32.8839075325809  ssim : 0.8907539030380254
iter : 42  psnr : 32.88664634154301  ssim : 0.8907831003645489
iter : 43  psnr : 32.88910660908308  ssim : 0.8908070781339569
iter : 44  psnr : 32.891084283318214  ssim : 0.8908177430488736
iter : 45  psnr : 32.892055991747576  ssim : 0.8908071103103208
iter : 46  psnr : 32.89225447372935  ssim : 0.8907809205826301
iter : 47  psnr : 32.89222507829538  ssim : 0.8907540743922852
iter : 48  psnr : 32.89243223929176  ssim : 0.8907358436289262
iter : 49  psnr : 32.89292049466118  ssim : 0.8907291106838213
iter : 50  psnr : 32.89344020391523  ssim : 0.8907282182814942
iter : 51  psnr : 32.89353839742524  ssim : 0.8907219202880786
iter : 52  psnr : 32.89328531353698  ssim : 0.8907140658967141
iter : 53  psnr : 32.89276867886293  ssim : 0.8907019971731109
iter : 54  psnr : 32.89180103534443  ssim : 0.8906706266490014
iter : 55  psnr : 32.89074885850012  ssim : 0.8906339596600851
iter : 56  psnr : 32.88978360532023  ssim : 0.8906039455957151
iter : 57  psnr : 32.88889746142613  ssim : 0.8905829307599256
iter : 58  psnr : 32.88795244624481  ssim : 0.890560666296073
iter : 59  psnr : 32.88728353191964  ssim : 0.8905394917228591
iter : 60  psnr : 32.886815930012986  ssim : 0.8905213029701387
iter : 61  psnr : 32.886313807006424  ssim : 0.890501394295665
iter : 62  psnr : 32.88541035328927  ssim : 0.8904747813272156
iter : 63  psnr : 32.884243851935885  ssim : 0.8904455295750562
iter : 64  psnr : 32.88304348255956  ssim : 0.8904179501957139
iter : 65  psnr : 32.88183277007902  ssim : 0.8903871541514626
iter : 66  psnr : 32.88096136403988  ssim : 0.8903627973748894
iter : 67  psnr : 32.88047529187507  ssim : 0.8903469785739153
iter : 68  psnr : 32.87998316075183  ssim : 0.8903305786889392
iter : 69  psnr : 32.879433265326156  ssim : 0.8903167481658498
iter : 70  psnr : 32.8789184469477  ssim : 0.890306694481461
