iter : 0  psnr : 28.155876048923165  ssim : 0.7774761537070669
iter : 1  psnr : 28.17749554560676  ssim : 0.7794360403669852
iter : 2  psnr : 28.179506041836603  ssim : 0.7794527113761205
iter : 3  psnr : 28.15672836752231  ssim : 0.7801526117176082
iter : 4  psnr : 28.11724172941699  ssim : 0.7797700186389714
iter : 5  psnr : 28.283091532341494  ssim : 0.7867676452190772
iter : 6  psnr : 24.379294414509975  ssim : 0.5966069090581474
iter : 7  psnr : 26.885618621433863  ssim : 0.721088072535163
iter : 8  psnr : 27.9340404070739  ssim : 0.7709099087669087
iter : 9  psnr : 28.75150815312596  ssim : 0.8060632542398436
iter : 10  psnr : 29.422450837228943  ssim : 0.8308757477826455
iter : 11  psnr : 29.958369789221862  ssim : 0.848071543393325
iter : 12  psnr : 30.394774057422836  ssim : 0.8605506478830595
iter : 13  psnr : 30.734733593525213  ssim : 0.8694185362987894
iter : 14  psnr : 31.02555664629223  ssim : 0.8763597497013448
iter : 15  psnr : 31.253740163121947  ssim : 0.8815550763375966
iter : 16  psnr : 31.44583521369791  ssim : 0.885839488326975
iter : 17  psnr : 31.618273727348765  ssim : 0.8895640100725071
iter : 18  psnr : 31.76254204451591  ssim : 0.8925946498736226
iter : 19  psnr : 31.888859956124925  ssim : 0.8952331487042063
iter : 20  psnr : 32.01096394128828  ssim : 0.8977439050614959
iter : 21  psnr : 32.11363685502049  ssim : 0.8998558107723743
iter : 22  psnr : 32.20567749143178  ssim : 0.9017447542881022
iter : 23  psnr : 32.27996515782262  ssim : 0.9032664332202615
iter : 24  psnr : 32.3494178764262  ssim : 0.9046259631894976
iter : 25  psnr : 32.410093355123536  ssim : 0.9057512934096096
iter : 26  psnr : 32.46089973278132  ssim : 0.9066712395670327
iter : 27  psnr : 32.50603430453541  ssim : 0.9074775756567327
iter : 28  psnr : 32.54579195329534  ssim : 0.9081717153141113
iter : 29  psnr : 32.57814201944107  ssim : 0.9087172516052527
iter : 30  psnr : 32.6075381362446  ssim : 0.9091821148995909
iter : 31  psnr : 32.631836306425235  ssim : 0.9095548762091938
iter : 32  psnr : 32.652497661184114  ssim : 0.9098631643308099
iter : 33  psnr : 32.67251398518682  ssim : 0.9101564616023712
iter : 34  psnr : 32.689450929652345  ssim : 0.9103955092425853
iter : 35  psnr : 32.70394982913417  ssim : 0.9105921981586907
iter : 36  psnr : 32.71737115078861  ssim : 0.910765631014449
iter : 37  psnr : 32.73003847698657  ssim : 0.9109199911895712
iter : 38  psnr : 32.740501309690906  ssim : 0.9110378409402387
iter : 39  psnr : 32.75008243355567  ssim : 0.9111390537691385
iter : 40  psnr : 32.757747720221374  ssim : 0.9112122625694943
iter : 41  psnr : 32.764843524709576  ssim : 0.9112730056892152
iter : 42  psnr : 32.7715565316804  ssim : 0.9113332286576405
iter : 43  psnr : 32.777752866081656  ssim : 0.9113949000522906
iter : 44  psnr : 32.782914644829816  ssim : 0.9114502994310345
iter : 45  psnr : 32.78745368103432  ssim : 0.9114949266595017
iter : 46  psnr : 32.791415456394496  ssim : 0.911531042511736
iter : 47  psnr : 32.79537046344576  ssim : 0.9115660770351277
iter : 48  psnr : 32.79882330108169  ssim : 0.9115958939809807
iter : 49  psnr : 32.8021169974659  ssim : 0.9116230248152108
iter : 50  psnr : 32.80504901073872  ssim : 0.9116480754088703
iter : 51  psnr : 32.80768316073223  ssim : 0.911668348290446
iter : 52  psnr : 32.809750650623926  ssim : 0.9116784323667625
iter : 53  psnr : 32.811385536637694  ssim : 0.9116819746530712
iter : 54  psnr : 32.81315213598751  ssim : 0.9116898610434963
iter : 55  psnr : 32.81478703533508  ssim : 0.911698942434979
iter : 56  psnr : 32.81618853861168  ssim : 0.9117047922762294
iter : 57  psnr : 32.81737171266626  ssim : 0.9117080507872722
iter : 58  psnr : 32.81876890813845  ssim : 0.9117199490416684
iter : 59  psnr : 32.820189138257994  ssim : 0.9117348669723326
iter : 60  psnr : 32.821203072545444  ssim : 0.9117406564437247
iter : 61  psnr : 32.82175854291083  ssim : 0.9117416513806295
iter : 62  psnr : 32.82197473845136  ssim : 0.9117380268263746
iter : 63  psnr : 32.82204908004938  ssim : 0.9117315509509021
iter : 64  psnr : 32.82239459381293  ssim : 0.9117270422296061
iter : 65  psnr : 32.82310473711899  ssim : 0.911730044207667
iter : 66  psnr : 32.823648011680234  ssim : 0.9117318741630768
iter : 67  psnr : 32.82393011237497  ssim : 0.9117314223156656
iter : 68  psnr : 32.82398623501811  ssim : 0.9117298421180937
iter : 69  psnr : 32.82388620948303  ssim : 0.9117267935758235
iter : 70  psnr : 32.82359778762803  ssim : 0.9117177819286806
iter : 71  psnr : 32.823286074108516  ssim : 0.9117062833315881
iter : 72  psnr : 32.823249919725455  ssim : 0.9116973336798525
iter : 73  psnr : 32.82348219592451  ssim : 0.9116940475535665
iter : 74  psnr : 32.82363423328937  ssim : 0.9116910859013843
iter : 75  psnr : 32.82363701335163  ssim : 0.9116870777151191
iter : 76  psnr : 32.82351248569101  ssim : 0.911682553376189
iter : 77  psnr : 32.8234901976198  ssim : 0.9116801554725201
iter : 78  psnr : 32.823505475086336  ssim : 0.9116792967712147
iter : 79  psnr : 32.823508412135766  ssim : 0.9116795103724883
iter : 80  psnr : 32.82356681918293  ssim : 0.9116804126692329
iter : 81  psnr : 32.82363920422458  ssim : 0.911681316319003
iter : 82  psnr : 32.823708540151216  ssim : 0.9116828886895746
iter : 83  psnr : 32.82373248638496  ssim : 0.9116847024954385
iter : 84  psnr : 32.82377255403593  ssim : 0.9116871362251687
iter : 85  psnr : 32.823831215649264  ssim : 0.9116904665410661
iter : 86  psnr : 32.82394414047442  ssim : 0.9116944019445388
iter : 87  psnr : 32.82429797005087  ssim : 0.9117020606358867
iter : 88  psnr : 32.824458019163664  ssim : 0.9117058669418385
iter : 89  psnr : 32.82435954533636  ssim : 0.9117044368480213
iter : 90  psnr : 32.824283929934005  ssim : 0.9117031697494022
