iter : 0  psnr : 28.009118763984286  ssim : 0.7764294956361445
iter : 1  psnr : 28.070538459516804  ssim : 0.7786068491025145
iter : 2  psnr : 27.988453313782188  ssim : 0.7749091953096017
iter : 3  psnr : 27.977150098098598  ssim : 0.7750712202727472
iter : 4  psnr : 27.877510761338165  ssim : 0.770408986808782
iter : 5  psnr : 27.97365521292228  ssim : 0.773927718484859
iter : 6  psnr : 28.073015148881076  ssim : 0.7783325471895729
iter : 7  psnr : 28.117172097495136  ssim : 0.7798117726902386
iter : 8  psnr : 28.16243165211506  ssim : 0.7805958072484992
iter : 9  psnr : 28.246268584011005  ssim : 0.7825497429106615
iter : 10  psnr : 28.38086834994456  ssim : 0.7865568904704395
iter : 11  psnr : 28.500217311045684  ssim : 0.7894597537960829
iter : 12  psnr : 28.642483787648317  ssim : 0.7936707469976327
iter : 13  psnr : 28.778757731068826  ssim : 0.7975037106395783
iter : 14  psnr : 28.971838641452706  ssim : 0.803734467376413
iter : 15  psnr : 29.28536955949701  ssim : 0.814091611387964
iter : 16  psnr : 29.548337710998297  ssim : 0.8228856891496412
iter : 17  psnr : 29.773808763762144  ssim : 0.829984543193283
iter : 18  psnr : 29.952655540327235  ssim : 0.8353899120576042
iter : 19  psnr : 30.162348568596478  ssim : 0.8412676957224117
iter : 20  psnr : 30.37016764976771  ssim : 0.8473799208770251
iter : 21  psnr : 30.534633187887188  ssim : 0.8524430787638316
iter : 22  psnr : 30.69054958368031  ssim : 0.8566223501619958
iter : 23  psnr : 30.829027426901167  ssim : 0.860069217878327
iter : 24  psnr : 30.953264467973742  ssim : 0.8631199185215188
iter : 25  psnr : 31.0642362472314  ssim : 0.8656996183295619
iter : 26  psnr : 31.17300348532126  ssim : 0.8681433160082154
iter : 27  psnr : 31.279097451322503  ssim : 0.8705570976175935
iter : 28  psnr : 31.371619218034304  ssim : 0.87269947214227
iter : 29  psnr : 31.45489037891324  ssim : 0.8745974380481358
iter : 30  psnr : 31.526912232704355  ssim : 0.8762183153204011
iter : 31  psnr : 31.59254436995985  ssim : 0.8777270117756834
iter : 32  psnr : 31.651257362509075  ssim : 0.8791036575069322
iter : 33  psnr : 31.70332737815891  ssim : 0.8803205302480999
iter : 34  psnr : 31.75047091866878  ssim : 0.8814148888925702
iter : 35  psnr : 31.796095463460397  ssim : 0.8824454562239282
iter : 36  psnr : 31.834517923953534  ssim : 0.8832680245024603
iter : 37  psnr : 31.870167322202327  ssim : 0.8840060474844295
iter : 38  psnr : 31.900412456778064  ssim : 0.8846256959175676
iter : 39  psnr : 31.92718630993653  ssim : 0.885170058467449
iter : 40  psnr : 31.95303177525375  ssim : 0.8856842406368461
iter : 41  psnr : 31.974968184410137  ssim : 0.8861087361197798
iter : 42  psnr : 31.993858346433708  ssim : 0.8864677958613887
iter : 43  psnr : 32.01099903975973  ssim : 0.8867829233442706
iter : 44  psnr : 32.02506258930019  ssim : 0.8870319759416148
iter : 45  psnr : 32.037503129519344  ssim : 0.8872410913722049
iter : 46  psnr : 32.04842741149725  ssim : 0.8874237319023006
iter : 47  psnr : 32.05912744467938  ssim : 0.887599688746953
iter : 48  psnr : 32.07002722056684  ssim : 0.8877754985337107
iter : 49  psnr : 32.0797168048358  ssim : 0.8879417369706046
iter : 50  psnr : 32.08804191119363  ssim : 0.8880936968221285
iter : 51  psnr : 32.095764340472805  ssim : 0.8882334552850333
iter : 52  psnr : 32.10243599786024  ssim : 0.8883534193290858
iter : 53  psnr : 32.108369304177735  ssim : 0.8884636196387166
iter : 54  psnr : 32.114843867564325  ssim : 0.888586914890152
iter : 55  psnr : 32.12103899755755  ssim : 0.8886990225483558
iter : 56  psnr : 32.12757343212425  ssim : 0.8888204449270829
