iter : 0  psnr : 29.810721079346973  ssim : 0.7928889831569174
iter : 1  psnr : 29.750358426566976  ssim : 0.7893788866420589
iter : 2  psnr : 29.812518809625843  ssim : 0.7919197766901878
iter : 3  psnr : 29.81588172775632  ssim : 0.7915889285095739
iter : 4  psnr : 29.78342963143203  ssim : 0.7899655463927823
iter : 5  psnr : 29.76041709542828  ssim : 0.7886039372826332
iter : 6  psnr : 29.763183495496037  ssim : 0.7896639398562321
iter : 7  psnr : 29.823184070203645  ssim : 0.7917192554197349
iter : 8  psnr : 29.83497706181891  ssim : 0.7914687604482711
iter : 9  psnr : 29.91958161672644  ssim : 0.7951834990353258
iter : 10  psnr : 30.058369757936095  ssim : 0.8000630878574869
iter : 11  psnr : 30.23228524500042  ssim : 0.8056718427492178
iter : 12  psnr : 30.442165597344605  ssim : 0.8131941197218923
iter : 13  psnr : 30.644073658702858  ssim : 0.8198763081481216
iter : 14  psnr : 30.83325707056485  ssim : 0.8254946460430591
iter : 15  psnr : 31.00043164020374  ssim : 0.8303874373147597
iter : 16  psnr : 31.14717975222314  ssim : 0.8348080174572118
iter : 17  psnr : 31.275146451596953  ssim : 0.8385858766104992
iter : 18  psnr : 31.398998744788848  ssim : 0.842020436698624
iter : 19  psnr : 31.490669958500604  ssim : 0.8439098707010149
iter : 20  psnr : 31.540297686869273  ssim : 0.8449428425778585
iter : 21  psnr : 31.61333825490978  ssim : 0.8468561978322435
iter : 22  psnr : 31.684202953517755  ssim : 0.8487346138492957
iter : 23  psnr : 31.748830369551033  ssim : 0.8506858286774933
iter : 24  psnr : 31.82110403983534  ssim : 0.853007614478519
iter : 25  psnr : 31.893723102322834  ssim : 0.8552506077045576
iter : 26  psnr : 31.971147974152405  ssim : 0.8575040033847154
iter : 27  psnr : 32.04401168745176  ssim : 0.85960489687287
iter : 28  psnr : 32.111367140966976  ssim : 0.8615653798682174
iter : 29  psnr : 32.174960509436154  ssim : 0.8633364422637864
iter : 30  psnr : 32.23455184605574  ssim : 0.8649873389656499
iter : 31  psnr : 32.28938686313426  ssim : 0.8665028884117861
iter : 32  psnr : 32.343424677986064  ssim : 0.8679909617714674
iter : 33  psnr : 32.38836654698605  ssim : 0.8692355585364651
iter : 34  psnr : 32.428864546701874  ssim : 0.8703417014391371
iter : 35  psnr : 32.46352041384097  ssim : 0.8713004568465842
iter : 36  psnr : 32.49159179938302  ssim : 0.8720854821319864
iter : 37  psnr : 32.518014908196164  ssim : 0.8728126275412659
iter : 38  psnr : 32.5406019193973  ssim : 0.8734430329636438
iter : 39  psnr : 32.55991839916593  ssim : 0.873966367519727
iter : 40  psnr : 32.57734718758872  ssim : 0.8744281073698689
iter : 41  psnr : 32.59153132902144  ssim : 0.8747983339401494
iter : 42  psnr : 32.60356391621348  ssim : 0.875101222414725
iter : 43  psnr : 32.613938473834  ssim : 0.8753573710920687
iter : 44  psnr : 32.62339608066795  ssim : 0.875598612775418
iter : 45  psnr : 32.63012689583908  ssim : 0.8757698207766296
iter : 46  psnr : 32.636604318730605  ssim : 0.8759353153161743
iter : 47  psnr : 32.643019557378906  ssim : 0.8761015114721572
iter : 48  psnr : 32.64862650876958  ssim : 0.876249399615559
iter : 49  psnr : 32.65325704752153  ssim : 0.8763759263345142
iter : 50  psnr : 32.65787311424809  ssim : 0.8764961758490207
iter : 51  psnr : 32.66295079097678  ssim : 0.8766173853996371
iter : 52  psnr : 32.66719986993733  ssim : 0.8767186104725669
iter : 53  psnr : 32.671123649209164  ssim : 0.8768093813259009
iter : 54  psnr : 32.675037726669224  ssim : 0.8768969132144052
iter : 55  psnr : 32.67876507612261  ssim : 0.8769799903373563
iter : 56  psnr : 32.68235496072998  ssim : 0.8770605509675415
iter : 57  psnr : 32.68502655806029  ssim : 0.8771224870205736
iter : 58  psnr : 32.686944068517406  ssim : 0.8771690385462612
iter : 59  psnr : 32.68883447122658  ssim : 0.8772143060869504
iter : 60  psnr : 32.6911855668418  ssim : 0.8772659925164911
iter : 61  psnr : 32.69390646772936  ssim : 0.8773255038261774
iter : 62  psnr : 32.696205990726114  ssim : 0.8773761399029861
iter : 63  psnr : 32.69843863760429  ssim : 0.8774256613501362
iter : 64  psnr : 32.70042492196502  ssim : 0.8774706080597502
iter : 65  psnr : 32.702445471984326  ssim : 0.8775196265360397
iter : 66  psnr : 32.7040491665729  ssim : 0.8775607030176711
iter : 67  psnr : 32.70536210106373  ssim : 0.8775947157489262
iter : 68  psnr : 32.70642529802112  ssim : 0.8776233286091639
iter : 69  psnr : 32.707476950370804  ssim : 0.8776552942012203
iter : 70  psnr : 32.70838915882119  ssim : 0.8776821232691193
iter : 71  psnr : 32.709074882455845  ssim : 0.877699654901821
iter : 72  psnr : 32.70947829914909  ssim : 0.8777066988400215
iter : 73  psnr : 32.70976651979667  ssim : 0.877709336761507
iter : 74  psnr : 32.71016398894231  ssim : 0.8777181553276129
iter : 75  psnr : 32.71045306776112  ssim : 0.877722949544202
iter : 76  psnr : 32.710789653481264  ssim : 0.8777268413623314
iter : 77  psnr : 32.711202734176624  ssim : 0.8777333691641078
iter : 78  psnr : 32.7115773589651  ssim : 0.8777369656900474
iter : 79  psnr : 32.7117053673042  ssim : 0.8777359842640868
iter : 80  psnr : 32.71169158551086  ssim : 0.8777340272985739
iter : 81  psnr : 32.71159426630355  ssim : 0.877732021923242
iter : 82  psnr : 32.711898540684786  ssim : 0.8777406577437411
iter : 83  psnr : 32.71207000151521  ssim : 0.877744449368028
iter : 84  psnr : 32.71204905448367  ssim : 0.8777415338938491
iter : 85  psnr : 32.71218705658329  ssim : 0.8777402177859047
iter : 86  psnr : 32.712364224903155  ssim : 0.8777366176257697
iter : 87  psnr : 32.71243833840246  ssim : 0.8777312045442629
