iter : 0  psnr : 27.782633344034497  ssim : 0.7847279681915436
iter : 1  psnr : 27.84664315414887  ssim : 0.7848663947092351
iter : 2  psnr : 27.908364255360777  ssim : 0.7872004434332076
iter : 3  psnr : 27.79146576985029  ssim : 0.7820780711462535
iter : 4  psnr : 27.741289144239474  ssim : 0.7800807572021611
iter : 5  psnr : 27.791945547121433  ssim : 0.7821534539456267
iter : 6  psnr : 27.795392935679516  ssim : 0.7818975064645692
iter : 7  psnr : 27.85757809264251  ssim : 0.7843606716476937
iter : 8  psnr : 27.873150075562478  ssim : 0.7844184818902488
iter : 9  psnr : 27.906672170847678  ssim : 0.784704953328235
iter : 10  psnr : 28.0243506821732  ssim : 0.7884161128054527
iter : 11  psnr : 28.194937196665713  ssim : 0.7938521912975761
iter : 12  psnr : 28.322415385625987  ssim : 0.7977045884131716
iter : 13  psnr : 28.416719318911046  ssim : 0.7998623557266364
iter : 14  psnr : 28.52307785086115  ssim : 0.8013199597631331
iter : 15  psnr : 28.48134378151162  ssim : 0.7988302618442348
iter : 16  psnr : 28.081702712863148  ssim : 0.7872089192174696
iter : 17  psnr : 28.107164477021833  ssim : 0.7884310783223878
iter : 18  psnr : 28.319968006996806  ssim : 0.7955540957189261
iter : 19  psnr : 28.596931279235346  ssim : 0.8039965155489438
iter : 20  psnr : 28.866705618402364  ssim : 0.8118101525284547
iter : 21  psnr : 29.125721537412595  ssim : 0.8187830273595612
iter : 22  psnr : 29.32800631232505  ssim : 0.8241482355139035
iter : 23  psnr : 29.496032407765217  ssim : 0.8285673667606509
iter : 24  psnr : 29.638042949236862  ssim : 0.83235154472233
iter : 25  psnr : 29.752581216897767  ssim : 0.8354055398421437
iter : 26  psnr : 29.84546593480127  ssim : 0.8378297521213088
iter : 27  psnr : 29.928140251687793  ssim : 0.8399653462747869
iter : 28  psnr : 30.00222986125692  ssim : 0.8419167148704968
iter : 29  psnr : 30.07056607416469  ssim : 0.8437902680390041
iter : 30  psnr : 30.131950287954137  ssim : 0.8455021074564998
iter : 31  psnr : 30.18499971077505  ssim : 0.8469946811382214
iter : 32  psnr : 30.234017912922116  ssim : 0.8483652118222592
iter : 33  psnr : 30.278281042023764  ssim : 0.8495845909783034
iter : 34  psnr : 30.31793826639335  ssim : 0.8506721982767661
iter : 35  psnr : 30.350937079311887  ssim : 0.8515678040120351
iter : 36  psnr : 30.381530412896296  ssim : 0.8523905055279033
iter : 37  psnr : 30.409737088638195  ssim : 0.8531387892283315
iter : 38  psnr : 30.434908561139878  ssim : 0.8538058595715091
iter : 39  psnr : 30.45560302968181  ssim : 0.8543461034979538
iter : 40  psnr : 30.47427440373911  ssim : 0.854807863902579
iter : 41  psnr : 30.489801070348147  ssim : 0.8551839816057687
iter : 42  psnr : 30.504824249806948  ssim : 0.8555426091576956
iter : 43  psnr : 30.518309177416903  ssim : 0.8558584158012464
iter : 44  psnr : 30.530830176019386  ssim : 0.8561457624110889
iter : 45  psnr : 30.542632633813444  ssim : 0.8564089147762077
iter : 46  psnr : 30.55298431559917  ssim : 0.8566488984085429
iter : 47  psnr : 30.56255501398369  ssim : 0.8568734747456629
iter : 48  psnr : 30.571035217596737  ssim : 0.857069621517153
iter : 49  psnr : 30.57864990335961  ssim : 0.8572372922858682
iter : 50  psnr : 30.585886750259416  ssim : 0.8573941073565704
iter : 51  psnr : 30.592488893648337  ssim : 0.8575428518158726
iter : 52  psnr : 30.598048901066292  ssim : 0.8576651365142709
iter : 53  psnr : 30.602732438868014  ssim : 0.8577650901720181
iter : 54  psnr : 30.606709649859233  ssim : 0.8578453345002466
iter : 55  psnr : 30.61033423017853  ssim : 0.8579195382268868
iter : 56  psnr : 30.614164685308328  ssim : 0.8580022902042287
iter : 57  psnr : 30.61779463777977  ssim : 0.8580833484409152
iter : 58  psnr : 30.621053953036615  ssim : 0.8581551228363656
iter : 59  psnr : 30.624200868747046  ssim : 0.8582253530712705
iter : 60  psnr : 30.62708968957148  ssim : 0.8582883965952958
iter : 61  psnr : 30.62989621314667  ssim : 0.8583510492307196
iter : 62  psnr : 30.63246039105713  ssim : 0.8584081965287074
iter : 63  psnr : 30.63513125535851  ssim : 0.8584676689607817
iter : 64  psnr : 30.63768443099065  ssim : 0.8585242889232462
iter : 65  psnr : 30.639859455225313  ssim : 0.8585759806615252
iter : 66  psnr : 30.641352639575544  ssim : 0.8586088729887826
iter : 67  psnr : 30.642409651574695  ssim : 0.8586319646545804
iter : 68  psnr : 30.6434766059686  ssim : 0.8586612936543413
iter : 69  psnr : 30.644510304336364  ssim : 0.858688517640094
iter : 70  psnr : 30.645479524430677  ssim : 0.8587106676623066
iter : 71  psnr : 30.64648295807175  ssim : 0.8587317025290578
iter : 72  psnr : 30.647275754508932  ssim : 0.8587495771180563
iter : 73  psnr : 30.647758872145  ssim : 0.8587601169280205
iter : 74  psnr : 30.64822926702837  ssim : 0.8587667945125292
iter : 75  psnr : 30.648763210604546  ssim : 0.8587758515691201
iter : 76  psnr : 30.649334893871533  ssim : 0.8587868604381087
iter : 77  psnr : 30.649824784767734  ssim : 0.8587953388298692
iter : 78  psnr : 30.650224136485917  ssim : 0.8588027979606341
iter : 79  psnr : 30.65078758808196  ssim : 0.8588153104737271
iter : 80  psnr : 30.651438397447144  ssim : 0.858832578107407
iter : 81  psnr : 30.65184810193445  ssim : 0.8588426167243023
iter : 82  psnr : 30.652195653328157  ssim : 0.858849991525571
iter : 83  psnr : 30.652663752217684  ssim : 0.8588613501358225
iter : 84  psnr : 30.65338158610381  ssim : 0.8588793221697604
iter : 85  psnr : 30.65394495173786  ssim : 0.858892175280056
iter : 86  psnr : 30.654356654336627  ssim : 0.8589006233928628
iter : 87  psnr : 30.654858123621178  ssim : 0.8589117096559692
iter : 88  psnr : 30.655450491823668  ssim : 0.858924999588771
iter : 89  psnr : 30.65610129904283  ssim : 0.8589406421883959
iter : 90  psnr : 30.656536166571968  ssim : 0.8589521518003269
iter : 91  psnr : 30.656932159522302  ssim : 0.8589640838737078
iter : 92  psnr : 30.657385206788295  ssim : 0.8589777647524611
