iter : 0  psnr : 27.96282434387473  ssim : 0.7682934262306494
iter : 1  psnr : 27.91447777085532  ssim : 0.767198842685554
iter : 2  psnr : 28.031141388007796  ssim : 0.773343136817767
iter : 3  psnr : 28.032316264837092  ssim : 0.7746544440354451
iter : 4  psnr : 28.067729873027435  ssim : 0.7757419399742197
iter : 5  psnr : 28.162195082942716  ssim : 0.7791222809230198
iter : 6  psnr : 28.21617372347175  ssim : 0.7815873900192651
iter : 7  psnr : 28.307511570233103  ssim : 0.7852252533726023
iter : 8  psnr : 28.419550923459834  ssim : 0.7897639697628344
iter : 9  psnr : 28.520915802508302  ssim : 0.7932166383328623
iter : 10  psnr : 28.646943539710904  ssim : 0.7969786568104112
iter : 11  psnr : 28.811960425906896  ssim : 0.8015359138798477
iter : 12  psnr : 29.00838811091881  ssim : 0.8074442929210414
iter : 13  psnr : 29.21462393168589  ssim : 0.8135590789433972
iter : 14  psnr : 29.38565944821463  ssim : 0.8179610611007775
iter : 15  psnr : 29.55697778223726  ssim : 0.8216945178228944
iter : 16  psnr : 29.717612050492544  ssim : 0.8253208325251523
iter : 17  psnr : 29.793989458761896  ssim : 0.8266707113444264
iter : 18  psnr : 29.84668304765937  ssim : 0.8280305055265799
iter : 19  psnr : 29.945170384141235  ssim : 0.8304106917495269
iter : 20  psnr : 30.023871575292695  ssim : 0.8322447044657519
iter : 21  psnr : 30.095055621771934  ssim : 0.834324578745845
iter : 22  psnr : 30.16923068837312  ssim : 0.8364975982700417
iter : 23  psnr : 30.239685452971198  ssim : 0.8384204500444177
iter : 24  psnr : 30.302399870491147  ssim : 0.8404347545516698
iter : 25  psnr : 30.36579108814269  ssim : 0.8424296921848351
iter : 26  psnr : 30.44878192055573  ssim : 0.8446983085864
iter : 27  psnr : 30.53667951715117  ssim : 0.8468563890047002
iter : 28  psnr : 30.620218434574365  ssim : 0.848908158167032
iter : 29  psnr : 30.705617916813146  ssim : 0.8509984293559907
iter : 30  psnr : 30.781122547664687  ssim : 0.8528497288029077
iter : 31  psnr : 30.850887003109577  ssim : 0.8545574626376847
iter : 32  psnr : 30.914567156145093  ssim : 0.8561458923742192
iter : 33  psnr : 30.971021155580466  ssim : 0.8575680148009971
iter : 34  psnr : 31.01962328892029  ssim : 0.8588077277462113
iter : 35  psnr : 31.062886929485543  ssim : 0.8599198275252338
iter : 36  psnr : 31.101985785763326  ssim : 0.8609262813729602
iter : 37  psnr : 31.138595718510853  ssim : 0.8618668771157134
iter : 38  psnr : 31.17049393201232  ssim : 0.8626806358903782
iter : 39  psnr : 31.196627260251336  ssim : 0.8633517446499743
iter : 40  psnr : 31.21911722240199  ssim : 0.8639236799076783
iter : 41  psnr : 31.239932367888386  ssim : 0.864442359601604
iter : 42  psnr : 31.26035357933666  ssim : 0.8649399487160939
iter : 43  psnr : 31.27788486441255  ssim : 0.8653633625522307
iter : 44  psnr : 31.29331821543499  ssim : 0.8657283326735687
iter : 45  psnr : 31.30628617764431  ssim : 0.8660267106389457
iter : 46  psnr : 31.31868828405423  ssim : 0.8662994162530236
iter : 47  psnr : 31.330202670011737  ssim : 0.8665394160532324
iter : 48  psnr : 31.34055241267692  ssim : 0.8667596420452607
iter : 49  psnr : 31.350403254887706  ssim : 0.866972764102434
iter : 50  psnr : 31.358945109226863  ssim : 0.8671548868538471
iter : 51  psnr : 31.366497651042316  ssim : 0.8673045713398582
iter : 52  psnr : 31.37302658255285  ssim : 0.8674186832602909
iter : 53  psnr : 31.37816824797153  ssim : 0.8674970814318577
iter : 54  psnr : 31.38320441982517  ssim : 0.8675789679525192
iter : 55  psnr : 31.387914158041134  ssim : 0.8676533553338772
iter : 56  psnr : 31.3918962760803  ssim : 0.8677118307175269
iter : 57  psnr : 31.394436221032382  ssim : 0.8677420693150942
iter : 58  psnr : 31.39631887294388  ssim : 0.8677646508410801
iter : 59  psnr : 31.398320874962515  ssim : 0.8677898232903405
iter : 60  psnr : 31.40037383929605  ssim : 0.8678198015224025
iter : 61  psnr : 31.40230052321552  ssim : 0.8678482122457675
