iter : 0  psnr : 28.248461405262137  ssim : 0.7675918229064038
iter : 1  psnr : 28.266995465496187  ssim : 0.7685180033917792
iter : 2  psnr : 28.32800540352779  ssim : 0.7718642951302741
iter : 3  psnr : 28.330215797117198  ssim : 0.7726162061101474
iter : 4  psnr : 28.281379103668023  ssim : 0.7713353736923879
iter : 5  psnr : 28.303059576348403  ssim : 0.7737007412291068
iter : 6  psnr : 28.332032591144053  ssim : 0.7756133523407944
iter : 7  psnr : 28.324921310946785  ssim : 0.7763669753436611
iter : 8  psnr : 28.33095189812392  ssim : 0.7772374103524929
iter : 9  psnr : 28.399853300293906  ssim : 0.7803613464654772
iter : 10  psnr : 28.457569399467605  ssim : 0.7832212105149375
iter : 11  psnr : 28.535413884738322  ssim : 0.7873779263513284
iter : 12  psnr : 28.592643537710476  ssim : 0.7901916682477725
iter : 13  psnr : 28.714364529380937  ssim : 0.7955402182770733
iter : 14  psnr : 28.837307902355104  ssim : 0.8014464656592463
iter : 15  psnr : 28.998903996331155  ssim : 0.8094773254906994
iter : 16  psnr : 29.168747294186296  ssim : 0.8179334493167439
iter : 17  psnr : 29.382744215914038  ssim : 0.8271693590766027
iter : 18  psnr : 29.675266473283134  ssim : 0.8384183904313055
iter : 19  psnr : 30.012860867825587  ssim : 0.8506836678477705
iter : 20  psnr : 30.35279301330472  ssim : 0.8618822464703138
iter : 21  psnr : 30.675853625718045  ssim : 0.8715309478180385
iter : 22  psnr : 30.935753716535714  ssim : 0.8787508085170332
iter : 23  psnr : 31.147015651560697  ssim : 0.8840103001926854
iter : 24  psnr : 31.338106851078173  ssim : 0.8882125171857868
iter : 25  psnr : 31.50161915088634  ssim : 0.8916411678623645
iter : 26  psnr : 31.63773748512886  ssim : 0.8943984784121277
iter : 27  psnr : 31.76140852795188  ssim : 0.8968057668874571
iter : 28  psnr : 31.866438111655924  ssim : 0.8988074421424045
iter : 29  psnr : 31.94895501682506  ssim : 0.9003540620535934
iter : 30  psnr : 32.0250912684374  ssim : 0.9017810567532022
iter : 31  psnr : 32.08688452152194  ssim : 0.9029673200441699
iter : 32  psnr : 32.138141166511154  ssim : 0.9039514562523366
iter : 33  psnr : 32.181140918998665  ssim : 0.9047829732707005
iter : 34  psnr : 32.21657947042973  ssim : 0.9054749231670631
iter : 35  psnr : 32.24912752234526  ssim : 0.906097123618388
iter : 36  psnr : 32.276511080986715  ssim : 0.9066145689981319
iter : 37  psnr : 32.29800627215232  ssim : 0.9070274144346785
iter : 38  psnr : 32.315801161002256  ssim : 0.907365676712044
iter : 39  psnr : 32.33196776689457  ssim : 0.9076655581369676
iter : 40  psnr : 32.345952254991715  ssim : 0.9079077213847943
iter : 41  psnr : 32.35816191352882  ssim : 0.9081203090739209
iter : 42  psnr : 32.36812566102746  ssim : 0.908299279173135
iter : 43  psnr : 32.37637615228917  ssim : 0.9084393495617759
iter : 44  psnr : 32.38378377769961  ssim : 0.908565662362789
iter : 45  psnr : 32.39019477294336  ssim : 0.9086864932191843
iter : 46  psnr : 32.395832548140035  ssim : 0.9087992119544038
iter : 47  psnr : 32.40097256354657  ssim : 0.9088920130630915
iter : 48  psnr : 32.40593693532326  ssim : 0.908972528164676
iter : 49  psnr : 32.41032500638107  ssim : 0.9090397673289115
iter : 50  psnr : 32.41423232291564  ssim : 0.9090894995288533
iter : 51  psnr : 32.41735070567696  ssim : 0.9091223950957342
iter : 52  psnr : 32.420095693698975  ssim : 0.9091490022200135
iter : 53  psnr : 32.422648456366716  ssim : 0.9091770755613132
