iter : 0  psnr : 29.102994899863212  ssim : 0.7900518078196094
iter : 1  psnr : 29.014686836659184  ssim : 0.786251398843145
iter : 2  psnr : 29.085844660682305  ssim : 0.7896947841929353
iter : 3  psnr : 29.05724766220226  ssim : 0.7888402022360608
iter : 4  psnr : 28.971986459507963  ssim : 0.7846982216048788
iter : 5  psnr : 28.934709194219064  ssim : 0.7833461415664573
iter : 6  psnr : 28.948891737009358  ssim : 0.7843608920833379
iter : 7  psnr : 29.03860879282737  ssim : 0.788432927210448
iter : 8  psnr : 29.166619797866655  ssim : 0.7932447341475004
iter : 9  psnr : 29.318649165897742  ssim : 0.7997341238752071
iter : 10  psnr : 29.473172401963236  ssim : 0.8066111489906366
iter : 11  psnr : 29.776100301409116  ssim : 0.8178877363225292
iter : 12  psnr : 30.106827591509187  ssim : 0.8293750929178205
iter : 13  psnr : 30.470977321632517  ssim : 0.841481131775553
iter : 14  psnr : 30.816694313633256  ssim : 0.851822746303973
iter : 15  psnr : 31.14572789530522  ssim : 0.8607727516894881
iter : 16  psnr : 31.416977593625113  ssim : 0.8674750558825571
iter : 17  psnr : 31.65521699238024  ssim : 0.872823288046108
iter : 18  psnr : 31.844696053678  ssim : 0.8768931547590629
iter : 19  psnr : 32.002463862596656  ssim : 0.8801023227906137
iter : 20  psnr : 32.13140643247811  ssim : 0.8827122309520306
iter : 21  psnr : 32.232519254005425  ssim : 0.8848201711092188
iter : 22  psnr : 32.32208355644302  ssim : 0.8866403399795867
iter : 23  psnr : 32.400024899021695  ssim : 0.8881709222791161
iter : 24  psnr : 32.46881689339891  ssim : 0.8895114958588717
iter : 25  psnr : 32.530917882604065  ssim : 0.8907359305603076
iter : 26  psnr : 32.57983888705991  ssim : 0.8917263319671538
iter : 27  psnr : 32.62276603019451  ssim : 0.8925690183758677
iter : 28  psnr : 32.66143824373698  ssim : 0.8932970616590101
iter : 29  psnr : 32.693729883397886  ssim : 0.8938851598141644
iter : 30  psnr : 32.72078722157354  ssim : 0.8943649883912224
iter : 31  psnr : 32.74523647988676  ssim : 0.8947871959795693
iter : 32  psnr : 32.76741661018018  ssim : 0.8951589779431677
iter : 33  psnr : 32.78595786251308  ssim : 0.8954483723323444
iter : 34  psnr : 32.801500754685605  ssim : 0.8956779800276595
iter : 35  psnr : 32.81487317867247  ssim : 0.8958709890695095
iter : 36  psnr : 32.82748245878833  ssim : 0.8960570959812006
iter : 37  psnr : 32.83857456541432  ssim : 0.8962131416330081
iter : 38  psnr : 32.84806833186775  ssim : 0.8963431459719498
iter : 39  psnr : 32.857576091433934  ssim : 0.8964765857650491
iter : 40  psnr : 32.86709264527252  ssim : 0.896607009798904
iter : 41  psnr : 32.87607160282561  ssim : 0.8967294963204177
iter : 42  psnr : 32.88343134845412  ssim : 0.896815975364535
iter : 43  psnr : 32.89010722672606  ssim : 0.896887836043048
iter : 44  psnr : 32.89658069640074  ssim : 0.8969629896242358
iter : 45  psnr : 32.90202961191399  ssim : 0.8970347227261518
iter : 46  psnr : 32.90656752077198  ssim : 0.8970869873244102
iter : 47  psnr : 32.910469102297654  ssim : 0.8971256249249049
iter : 48  psnr : 32.91396799209969  ssim : 0.8971521112065596
iter : 49  psnr : 32.91741035509521  ssim : 0.8971795941985888
iter : 50  psnr : 32.920860165455196  ssim : 0.8972163570195524
iter : 51  psnr : 32.924501758169626  ssim : 0.8972626020458649
iter : 52  psnr : 32.927406620995136  ssim : 0.8973044148364774
