iter : 0  psnr : 24.335874438780376  ssim : 0.5562209028157901
iter : 1  psnr : 30.00511435920563  ssim : 0.7970638114633793
iter : 2  psnr : 30.025677131387663  ssim : 0.798939271588883
iter : 3  psnr : 30.153921811009457  ssim : 0.805250690725729
iter : 4  psnr : 30.288275744942375  ssim : 0.8113525471580799
iter : 5  psnr : 30.54830466217044  ssim : 0.821200116019902
iter : 6  psnr : 19.446995831603605  ssim : 0.2938139766152628
iter : 7  psnr : 22.967361062826342  ssim : 0.4459630015571983
iter : 8  psnr : 16.738773888095416  ssim : 0.19840563325062155
iter : 9  psnr : 17.262705132683912  ssim : 0.19686241276782715
iter : 10  psnr : 18.59883298829557  ssim : 0.2463734229809037
iter : 11  psnr : 19.579851619253034  ssim : 0.2884383246310489
iter : 12  psnr : 20.173697522842158  ssim : 0.32081715441504766
iter : 13  psnr : 20.609585890346224  ssim : 0.3489470083219734
iter : 14  psnr : 20.990035264704787  ssim : 0.3747172542633989
iter : 15  psnr : 21.319574490336155  ssim : 0.39819764938678026
iter : 16  psnr : 21.609525014620395  ssim : 0.4202825840494486
iter : 17  psnr : 21.839482540491954  ssim : 0.43848844991851754
iter : 18  psnr : 22.05884007836844  ssim : 0.4564269556929852
iter : 19  psnr : 22.248806134991153  ssim : 0.47210800016592325
iter : 20  psnr : 22.433349613715933  ssim : 0.4865380986857297
iter : 21  psnr : 22.64505720922309  ssim : 0.5019702126593315
iter : 22  psnr : 22.857288224988935  ssim : 0.5169104399876304
iter : 23  psnr : 23.07893611786792  ssim : 0.5314454075339277
iter : 24  psnr : 23.334763488317442  ssim : 0.5473106758089634
iter : 25  psnr : 23.604918797573053  ssim : 0.5632019396227752
iter : 26  psnr : 23.897724680570278  ssim : 0.5793990521112181
iter : 27  psnr : 24.198026122314346  ssim : 0.595315722835517
iter : 28  psnr : 24.512795602830558  ssim : 0.6112037168473102
iter : 29  psnr : 24.857835583810754  ssim : 0.6277426433772715
iter : 30  psnr : 25.195516188895116  ssim : 0.6432512382804461
iter : 31  psnr : 25.52442204870772  ssim : 0.6578539177667948
iter : 32  psnr : 25.858482553142473  ssim : 0.6721566748950882
iter : 33  psnr : 26.191487225302645  ssim : 0.6860264931426874
iter : 34  psnr : 26.514464340158913  ssim : 0.699047419822522
iter : 35  psnr : 26.839263572245834  ssim : 0.7117810915555276
iter : 36  psnr : 27.144112662368165  ssim : 0.7234366040958174
iter : 37  psnr : 27.463110029562685  ssim : 0.7353084270431877
iter : 38  psnr : 27.771314992813323  ssim : 0.7465473711085647
iter : 39  psnr : 28.059757987665872  ssim : 0.7567893049820053
iter : 40  psnr : 28.364488606433625  ssim : 0.7672541495389679
iter : 41  psnr : 28.650939801180158  ssim : 0.776815374019927
iter : 42  psnr : 28.940134404386487  ssim : 0.7862093242731264
iter : 43  psnr : 29.21840230495636  ssim : 0.7949486584424453
iter : 44  psnr : 29.48872399308285  ssim : 0.8031782464501306
iter : 45  psnr : 29.756503838817668  ssim : 0.8111294018808732
iter : 46  psnr : 30.009990502199262  ssim : 0.8184845239109565
iter : 47  psnr : 30.24711378289281  ssim : 0.8251231712102312
iter : 48  psnr : 30.478521914177982  ssim : 0.8313824717301149
iter : 49  psnr : 30.698519764205866  ssim : 0.8371796604199815
iter : 50  psnr : 30.91627117476618  ssim : 0.8427798149781712
iter : 51  psnr : 31.12080155943575  ssim : 0.8479072517964872
iter : 52  psnr : 31.313344741976547  ssim : 0.8526161192879634
iter : 53  psnr : 31.495859089409755  ssim : 0.8569738848684472
iter : 54  psnr : 31.666297145222877  ssim : 0.8609659452909852
iter : 55  psnr : 31.82252310290801  ssim : 0.8645513810848618
iter : 56  psnr : 31.962190806213613  ssim : 0.8676819616434501
iter : 57  psnr : 32.096719657185744  ssim : 0.8706391042189956
iter : 58  psnr : 32.22415330721597  ssim : 0.8733764436482866
iter : 59  psnr : 32.34725523759157  ssim : 0.87596098597546
iter : 60  psnr : 32.46130267168015  ssim : 0.8782980574645939
iter : 61  psnr : 32.56496468797224  ssim : 0.8803980233401963
iter : 62  psnr : 32.65436099549978  ssim : 0.8821913826524497
iter : 63  psnr : 32.7414468343536  ssim : 0.8839235229602564
iter : 64  psnr : 32.82108822912366  ssim : 0.8854742525137352
iter : 65  psnr : 32.8944330607863  ssim : 0.8868846521075135
iter : 66  psnr : 32.96244877365798  ssim : 0.8881799292829017
iter : 67  psnr : 33.02343381587499  ssim : 0.8893348302031113
iter : 68  psnr : 33.079737317886575  ssim : 0.8903949047891012
iter : 69  psnr : 33.13138344868075  ssim : 0.8913525459720418
iter : 70  psnr : 33.18079429460653  ssim : 0.8922583775500469
iter : 71  psnr : 33.22705741385193  ssim : 0.8931054050819419
iter : 72  psnr : 33.2697452260988  ssim : 0.8938825684706639
iter : 73  psnr : 33.307135597468374  ssim : 0.8945629656140572
iter : 74  psnr : 33.343521144304574  ssim : 0.8952153675318321
iter : 75  psnr : 33.37560830521895  ssim : 0.8957863957785077
iter : 76  psnr : 33.40561854404241  ssim : 0.8963175402540483
iter : 77  psnr : 33.433890999480866  ssim : 0.8968171061414326
iter : 78  psnr : 33.459543646547814  ssim : 0.897271275557833
iter : 79  psnr : 33.483428378827185  ssim : 0.8976884225146616
iter : 80  psnr : 33.5060884495754  ssim : 0.8980718104222877
iter : 81  psnr : 33.52636019177821  ssim : 0.8984117381972905
