iter : 0  psnr : 27.603467580780453  ssim : 0.7615166429982487
iter : 1  psnr : 27.595601828604384  ssim : 0.7611975949294986
iter : 2  psnr : 27.611271609867934  ssim : 0.7615982079434334
iter : 3  psnr : 27.52883799056609  ssim : 0.758887128178305
iter : 4  psnr : 27.430807397937492  ssim : 0.7551933084103097
iter : 5  psnr : 27.478866153937233  ssim : 0.7585994497674721
iter : 6  psnr : 27.57951935837914  ssim : 0.7641762643723761
iter : 7  psnr : 27.87205996231567  ssim : 0.7779091111833353
iter : 8  psnr : 28.276400838599972  ssim : 0.7955434245273645
iter : 9  psnr : 28.7024991401346  ssim : 0.8128065798489418
iter : 10  psnr : 29.161648505684724  ssim : 0.8290979679881065
iter : 11  psnr : 29.619028501053897  ssim : 0.8443035120227894
iter : 12  psnr : 30.020680141558632  ssim : 0.8565852512878777
iter : 13  psnr : 30.366080806540545  ssim : 0.8660081514310637
iter : 14  psnr : 30.627959505344666  ssim : 0.8723458739741984
iter : 15  psnr : 30.86178390299972  ssim : 0.8776334372245744
iter : 16  psnr : 31.055911399710592  ssim : 0.8819027090067684
iter : 17  psnr : 31.216416731674656  ssim : 0.8852886367350331
iter : 18  psnr : 31.35240823994369  ssim : 0.8880150561446443
iter : 19  psnr : 31.466373015609452  ssim : 0.8902219306421328
iter : 20  psnr : 31.559274940670498  ssim : 0.8919893779419635
iter : 21  psnr : 31.64149688437284  ssim : 0.8935748152017916
iter : 22  psnr : 31.70798751720948  ssim : 0.8948573871928912
iter : 23  psnr : 31.766885939974458  ssim : 0.8959598297377017
iter : 24  psnr : 31.815122569245776  ssim : 0.8968649222952056
iter : 25  psnr : 31.856917921721415  ssim : 0.8976330214291026
iter : 26  psnr : 31.89686075508117  ssim : 0.8983549149378964
iter : 27  psnr : 31.930439017215612  ssim : 0.898956274031365
iter : 28  psnr : 31.962395888933997  ssim : 0.8995333275891167
iter : 29  psnr : 31.990515216148708  ssim : 0.9000615059588659
iter : 30  psnr : 32.01294734908934  ssim : 0.9004925965817683
iter : 31  psnr : 32.031018349931166  ssim : 0.9008191853740581
iter : 32  psnr : 32.046091212230806  ssim : 0.9010759016473964
iter : 33  psnr : 32.06000026116185  ssim : 0.9013071323744721
iter : 34  psnr : 32.07391495419445  ssim : 0.9015372998260185
iter : 35  psnr : 32.086317771093974  ssim : 0.9017272216062403
iter : 36  psnr : 32.096999128969784  ssim : 0.9018918644157851
iter : 37  psnr : 32.10606711357441  ssim : 0.9020456729689846
iter : 38  psnr : 32.113489448753924  ssim : 0.9021721346349771
iter : 39  psnr : 32.12116456100211  ssim : 0.9022931312297956
iter : 40  psnr : 32.127987435133775  ssim : 0.9023977355806109
iter : 41  psnr : 32.13351804744053  ssim : 0.902485938996461
iter : 42  psnr : 32.138936959616316  ssim : 0.9025725247939446
iter : 43  psnr : 32.14388588858411  ssim : 0.9026550955273919
iter : 44  psnr : 32.1482863846451  ssim : 0.9027305845949578
iter : 45  psnr : 32.152435042939196  ssim : 0.9028025576596446
iter : 46  psnr : 32.15665032768669  ssim : 0.9028829353012933
iter : 47  psnr : 32.16076484448711  ssim : 0.9029671314370317
iter : 48  psnr : 32.16456332951686  ssim : 0.9030453829479239
iter : 49  psnr : 32.16727034144236  ssim : 0.9030969450233014
iter : 50  psnr : 32.16964161583358  ssim : 0.9031406480748849
iter : 51  psnr : 32.17168515600402  ssim : 0.9031823497922271
iter : 52  psnr : 32.17391876325844  ssim : 0.9032292162442145
iter : 53  psnr : 32.1760294273711  ssim : 0.9032682299377374
iter : 54  psnr : 32.17764475649249  ssim : 0.9032933700520078
iter : 55  psnr : 32.17872609463883  ssim : 0.9033121612747873
iter : 56  psnr : 32.17973397176157  ssim : 0.9033314981222264
iter : 57  psnr : 32.180771572645284  ssim : 0.9033564179256759
iter : 58  psnr : 32.18170621208345  ssim : 0.9033793929680348
iter : 59  psnr : 32.182498767665166  ssim : 0.9033956914512931
iter : 60  psnr : 32.18378138052622  ssim : 0.9034172065270049
iter : 61  psnr : 32.18501645025515  ssim : 0.9034379878817163
iter : 62  psnr : 32.1856005657899  ssim : 0.9034487071541631
iter : 63  psnr : 32.18582105721685  ssim : 0.9034546967922622
iter : 64  psnr : 32.18595487160185  ssim : 0.9034577018597952
iter : 65  psnr : 32.18607673890831  ssim : 0.9034581513438052
iter : 66  psnr : 32.18633911955009  ssim : 0.9034595009650246
iter : 67  psnr : 32.18670177257177  ssim : 0.9034635748093449
iter : 68  psnr : 32.187146090004646  ssim : 0.9034718403684099
iter : 69  psnr : 32.187565262827704  ssim : 0.9034811454331465
iter : 70  psnr : 32.187885662813  ssim : 0.9034850023138846
iter : 71  psnr : 32.18825931842309  ssim : 0.9034841664001262
iter : 72  psnr : 32.188822704434294  ssim : 0.9034846769583951
iter : 73  psnr : 32.18931245335249  ssim : 0.9034866348556534
iter : 74  psnr : 32.18966013087295  ssim : 0.9034874409799178
iter : 75  psnr : 32.18984679069837  ssim : 0.9034855318003787
iter : 76  psnr : 32.19000479143952  ssim : 0.9034838945160933
iter : 77  psnr : 32.19007215236448  ssim : 0.903482071755471
iter : 78  psnr : 32.189980596307265  ssim : 0.9034786499501796
iter : 79  psnr : 32.189976570930156  ssim : 0.9034786545256055
iter : 80  psnr : 32.19004100695298  ssim : 0.9034808092338792
iter : 81  psnr : 32.190154077530664  ssim : 0.903484075867759
iter : 82  psnr : 32.190357156466575  ssim : 0.903488645032769
iter : 83  psnr : 32.1904880450007  ssim : 0.9034907246511842
iter : 84  psnr : 32.19059042677363  ssim : 0.9034914504250228
iter : 85  psnr : 32.19055183680412  ssim : 0.9034884448040685
iter : 86  psnr : 32.19030815559022  ssim : 0.9034827641397769
iter : 87  psnr : 32.18995935765512  ssim : 0.9034782826898545
iter : 88  psnr : 32.1897278471166  ssim : 0.9034765609228911
iter : 89  psnr : 32.189517849223286  ssim : 0.9034733905338911
iter : 90  psnr : 32.18926489540056  ssim : 0.903470949819881
iter : 91  psnr : 32.18919931681774  ssim : 0.9034739856643764
iter : 92  psnr : 32.18923595162699  ssim : 0.903478094545728
iter : 93  psnr : 32.189139967669426  ssim : 0.9034771535024023
iter : 94  psnr : 32.18886245198359  ssim : 0.9034726035724382
iter : 95  psnr : 32.18856729211427  ssim : 0.9034669764010489
iter : 96  psnr : 32.18827203029641  ssim : 0.90346087200099
iter : 97  psnr : 32.18793191737876  ssim : 0.903455216527549
iter : 98  psnr : 32.1876005484448  ssim : 0.9034517705731513
iter : 99  psnr : 32.18741217664848  ssim : 0.9034491241238726
iter : 100  psnr : 32.18722593139944  ssim : 0.9034429302144037
iter : 101  psnr : 32.187018849547684  ssim : 0.9034357877541659
iter : 102  psnr : 32.186662304860334  ssim : 0.9034277687490644
iter : 103  psnr : 32.186347536109274  ssim : 0.9034213073239974
iter : 104  psnr : 32.18605764735232  ssim : 0.9034125978775169
iter : 105  psnr : 32.18563424227782  ssim : 0.9034015313904268
iter : 106  psnr : 32.185277244320694  ssim : 0.9033949247188817
iter : 107  psnr : 32.18500044886162  ssim : 0.9033915417069386
iter : 108  psnr : 32.18474958889392  ssim : 0.9033862893824239
iter : 109  psnr : 32.184480770867495  ssim : 0.903378543317604
iter : 110  psnr : 32.18429244842584  ssim : 0.9033732101903438
iter : 111  psnr : 32.184197883941955  ssim : 0.9033697555249867
iter : 112  psnr : 32.18418948666369  ssim : 0.903368716336518
iter : 113  psnr : 32.18421910291831  ssim : 0.9033695169596293
iter : 114  psnr : 32.1841749758987  ssim : 0.9033672655498947
iter : 115  psnr : 32.18419069709357  ssim : 0.9033651390120291
iter : 116  psnr : 32.18426076901938  ssim : 0.9033659869250732
iter : 117  psnr : 32.18423408561699  ssim : 0.9033668579354318
iter : 118  psnr : 32.18412165137623  ssim : 0.9033635266015319
iter : 119  psnr : 32.18408208306006  ssim : 0.9033603243533596
