iter : 0  psnr : 27.905194097110055  ssim : 0.765427194152018
iter : 1  psnr : 27.91157839615305  ssim : 0.7661070520535167
iter : 2  psnr : 27.872302123624614  ssim : 0.7649872871152426
iter : 3  psnr : 27.869739750736628  ssim : 0.7648270528418509
iter : 4  psnr : 27.756399542485497  ssim : 0.7601979967641807
iter : 5  psnr : 27.617479294549845  ssim : 0.7549702228077309
iter : 6  psnr : 27.688855480059654  ssim : 0.7581637519147967
iter : 7  psnr : 27.787806601575728  ssim : 0.7632719072851594
iter : 8  psnr : 27.845750257562166  ssim : 0.766550682244552
iter : 9  psnr : 27.91641507165123  ssim : 0.7701165196113325
iter : 10  psnr : 28.08967845675727  ssim : 0.7778955630162963
iter : 11  psnr : 28.23134443712483  ssim : 0.7844506345323662
iter : 12  psnr : 28.45440980833599  ssim : 0.7936161927607375
iter : 13  psnr : 28.809241947622507  ssim : 0.8077791038488211
iter : 14  psnr : 29.174301764664992  ssim : 0.8211913956327727
iter : 15  psnr : 29.520575586520476  ssim : 0.8326271012951063
iter : 16  psnr : 29.830524376982737  ssim : 0.8423338090652603
iter : 17  psnr : 30.076679468929193  ssim : 0.8495783901505601
iter : 18  psnr : 30.30241981628096  ssim : 0.8557543035792012
iter : 19  psnr : 30.489838702397662  ssim : 0.8604874154792553
iter : 20  psnr : 30.639511940528163  ssim : 0.8640257516229173
iter : 21  psnr : 30.775907222991904  ssim : 0.8671216364464682
iter : 22  psnr : 30.89247196021997  ssim : 0.8696896649336275
iter : 23  psnr : 30.985324761414297  ssim : 0.8716856525350662
iter : 24  psnr : 31.064385413566782  ssim : 0.873397924087752
iter : 25  psnr : 31.128015323404398  ssim : 0.874812000822223
iter : 26  psnr : 31.18553545602999  ssim : 0.8760993063548783
iter : 27  psnr : 31.24044181086375  ssim : 0.877310348870548
iter : 28  psnr : 31.28560911585187  ssim : 0.8783016775250885
iter : 29  psnr : 31.324114475748868  ssim : 0.8791602000688343
iter : 30  psnr : 31.361905417041882  ssim : 0.8800003787658728
iter : 31  psnr : 31.396168314161294  ssim : 0.8807557168192602
iter : 32  psnr : 31.425692292766364  ssim : 0.8814061031801106
iter : 33  psnr : 31.449656127143058  ssim : 0.8819162465167562
iter : 34  psnr : 31.46853170440206  ssim : 0.8822911982851144
iter : 35  psnr : 31.48485720216337  ssim : 0.8826089816087238
iter : 36  psnr : 31.499789730847006  ssim : 0.8828992155933137
iter : 37  psnr : 31.512840175209107  ssim : 0.8831574888695763
iter : 38  psnr : 31.525173217676283  ssim : 0.8833954706106023
iter : 39  psnr : 31.53618487697429  ssim : 0.883612325610483
iter : 40  psnr : 31.545775729250146  ssim : 0.8837946936776159
iter : 41  psnr : 31.55423357726321  ssim : 0.8839461850777126
iter : 42  psnr : 31.56170183414406  ssim : 0.8840734925129101
iter : 43  psnr : 31.568223981136118  ssim : 0.8841854487373941
iter : 44  psnr : 31.574160894125065  ssim : 0.8842792331700939
iter : 45  psnr : 31.579360060162628  ssim : 0.8843621540350276
iter : 46  psnr : 31.58318099408654  ssim : 0.8844145352553606
iter : 47  psnr : 31.586682340124746  ssim : 0.8844564226182506
iter : 48  psnr : 31.589609563798568  ssim : 0.8844936318140021
iter : 49  psnr : 31.592503563760364  ssim : 0.8845401222575556
iter : 50  psnr : 31.595632292730844  ssim : 0.8846028563521146
iter : 51  psnr : 31.598491471505913  ssim : 0.8846594720289245
iter : 52  psnr : 31.600944520255148  ssim : 0.8846993397005517
iter : 53  psnr : 31.603471640285818  ssim : 0.8847311460012264
iter : 54  psnr : 31.60598106050511  ssim : 0.8847634936667093
