iter : 0  psnr : 28.0633972066968  ssim : 0.7765721745154409
iter : 1  psnr : 28.03656109562947  ssim : 0.7756815078879341
iter : 2  psnr : 28.051298864180616  ssim : 0.7772430419920261
iter : 3  psnr : 28.03674702483263  ssim : 0.7762818531441805
iter : 4  psnr : 27.965165823305686  ssim : 0.772484611398374
iter : 5  psnr : 27.929001152635628  ssim : 0.7713961194294044
iter : 6  psnr : 27.966036104475087  ssim : 0.7730116959137028
iter : 7  psnr : 27.956292984082808  ssim : 0.7727163991855983
iter : 8  psnr : 28.000639401218894  ssim : 0.7752270224846878
iter : 9  psnr : 28.065937318672802  ssim : 0.7784637732423807
iter : 10  psnr : 28.17801077406493  ssim : 0.7843824004244061
iter : 11  psnr : 28.322937814729524  ssim : 0.7916440194569078
iter : 12  psnr : 28.491112268982  ssim : 0.7997061795379126
iter : 13  psnr : 28.7377863844206  ssim : 0.8100995282436768
iter : 14  psnr : 29.021422437363448  ssim : 0.8210420872680537
iter : 15  psnr : 29.313258302623268  ssim : 0.83159171531651
iter : 16  psnr : 29.575724478677262  ssim : 0.8403218142333794
iter : 17  psnr : 29.823174165323834  ssim : 0.8479011215361622
iter : 18  psnr : 29.978924286112402  ssim : 0.8520744933801975
iter : 19  psnr : 30.115193000371576  ssim : 0.8557492132811609
iter : 20  psnr : 30.24959862655257  ssim : 0.8594445345172803
iter : 21  psnr : 30.37190967661905  ssim : 0.8628066922261179
iter : 22  psnr : 30.492474381628405  ssim : 0.866018775335191
iter : 23  psnr : 30.612470702303476  ssim : 0.8691042905024232
iter : 24  psnr : 30.71193478846915  ssim : 0.8715959373192117
iter : 25  psnr : 30.806181279767145  ssim : 0.8738802498010334
