iter : 0  psnr : 29.027192988102787  ssim : 0.7780930009213317
iter : 1  psnr : 29.000502481346373  ssim : 0.7763052755320723
iter : 2  psnr : 29.051789905372605  ssim : 0.7784614334992634
iter : 3  psnr : 29.151819091872397  ssim : 0.7845513094819423
iter : 4  psnr : 29.298853236671263  ssim : 0.791269480623172
iter : 5  psnr : 29.40902505649545  ssim : 0.7971187477079805
iter : 6  psnr : 29.492970444789908  ssim : 0.8015413215811049
iter : 7  psnr : 29.57386693984738  ssim : 0.8054834833322352
iter : 8  psnr : 29.70006019661718  ssim : 0.8115203293859612
iter : 9  psnr : 29.923986387524742  ssim : 0.8203004140856495
iter : 10  psnr : 30.17289160568762  ssim : 0.8296333967155919
iter : 11  psnr : 30.452904761949586  ssim : 0.8398023992503276
iter : 12  psnr : 30.793201685033008  ssim : 0.8510194136229713
iter : 13  psnr : 31.167864508991453  ssim : 0.8620690894421588
iter : 14  psnr : 31.528894417987054  ssim : 0.871857295233223
iter : 15  psnr : 31.865147801738264  ssim : 0.8801363686820941
iter : 16  psnr : 32.1739938218682  ssim : 0.8871135764701773
iter : 17  psnr : 32.44227947825667  ssim : 0.8926231452583674
iter : 18  psnr : 32.65754782596242  ssim : 0.8966951735082651
iter : 19  psnr : 32.84378511450361  ssim : 0.9000193775747812
iter : 20  psnr : 32.980947205435854  ssim : 0.9025014327706231
iter : 21  psnr : 33.1022177520749  ssim : 0.9046012532340074
iter : 22  psnr : 33.20930527532233  ssim : 0.9064041050287185
iter : 23  psnr : 33.2955272597338  ssim : 0.9078468088973695
iter : 24  psnr : 33.373513264132356  ssim : 0.909147492651808
iter : 25  psnr : 33.43958814837783  ssim : 0.9102819793281982
iter : 26  psnr : 33.49865481210075  ssim : 0.9113318825578804
iter : 27  psnr : 33.55526586119978  ssim : 0.9123267949798729
iter : 28  psnr : 33.60370287347671  ssim : 0.9131672859322546
iter : 29  psnr : 33.642844642204324  ssim : 0.9138495839506136
iter : 30  psnr : 33.67624925445515  ssim : 0.9144282939906574
iter : 31  psnr : 33.70272885402351  ssim : 0.9148708191939274
iter : 32  psnr : 33.72474355106364  ssim : 0.915226436320495
iter : 33  psnr : 33.74336621515822  ssim : 0.9155298948859999
iter : 34  psnr : 33.759438719388314  ssim : 0.9157818582381387
iter : 35  psnr : 33.77246287934062  ssim : 0.9159710348198312
iter : 36  psnr : 33.78313562257838  ssim : 0.9161228301364518
