iter : 0  psnr : 28.141463931836256  ssim : 0.7606241127482626
iter : 1  psnr : 28.14706564485951  ssim : 0.7613882294320569
iter : 2  psnr : 28.127305480344603  ssim : 0.7606347288808268
iter : 3  psnr : 28.152676274414986  ssim : 0.7623837398788471
iter : 4  psnr : 28.08920513500745  ssim : 0.7591998444104068
iter : 5  psnr : 28.1392951684245  ssim : 0.7632277561956964
iter : 6  psnr : 28.15910944345022  ssim : 0.7642863271189714
iter : 7  psnr : 28.127442029977505  ssim : 0.7635894810605168
iter : 8  psnr : 28.145958792094746  ssim : 0.7656890010694848
iter : 9  psnr : 28.11065005913938  ssim : 0.7665166556421007
iter : 10  psnr : 28.132271643184687  ssim : 0.7682135009334523
iter : 11  psnr : 28.225986766843807  ssim : 0.7721218161757551
iter : 12  psnr : 28.28463719323789  ssim : 0.7742265371945365
iter : 13  psnr : 28.442147274380677  ssim : 0.7822066498733594
iter : 14  psnr : 28.618370982708345  ssim : 0.790939943970602
iter : 15  psnr : 28.87390309730142  ssim : 0.8026154098139914
iter : 16  psnr : 29.240440778825256  ssim : 0.8179212510272043
iter : 17  psnr : 29.636565602501392  ssim : 0.8328227906701177
iter : 18  psnr : 30.022221806114807  ssim : 0.8459592580229819
iter : 19  psnr : 30.40464041122378  ssim : 0.8578974091444653
iter : 20  psnr : 30.75535717740204  ssim : 0.8675543555327327
iter : 21  psnr : 31.026060130052517  ssim : 0.8743364895084621
iter : 22  psnr : 31.255747802408663  ssim : 0.8796518180047901
iter : 23  psnr : 31.433309879367993  ssim : 0.8835336831885057
iter : 24  psnr : 31.581138504715657  ssim : 0.8866472209414299
iter : 25  psnr : 31.711040191683466  ssim : 0.8892730488639536
iter : 26  psnr : 31.814130487485137  ssim : 0.8912928677477194
iter : 27  psnr : 31.907706491201267  ssim : 0.8930709190222105
iter : 28  psnr : 31.99091737869464  ssim : 0.8946464214055885
iter : 29  psnr : 32.058965071004344  ssim : 0.8959509546809004
iter : 30  psnr : 32.121578192292965  ssim : 0.897124049525373
iter : 31  psnr : 32.16785682754529  ssim : 0.8979995308388131
iter : 32  psnr : 32.205206398605  ssim : 0.8987175818767275
iter : 33  psnr : 32.23582904330326  ssim : 0.8993002296531591
iter : 34  psnr : 32.2641983366977  ssim : 0.8998311236393803
iter : 35  psnr : 32.28790365091585  ssim : 0.9002552928136414
iter : 36  psnr : 32.31013584024435  ssim : 0.9006400230790543
iter : 37  psnr : 32.33215356590768  ssim : 0.9010275007064372
iter : 38  psnr : 32.350984184045856  ssim : 0.9013659142229121
iter : 39  psnr : 32.367474374466596  ssim : 0.9016703994786982
iter : 40  psnr : 32.38072232631616  ssim : 0.9019116166281644
iter : 41  psnr : 32.39294027882264  ssim : 0.9021362115918272
iter : 42  psnr : 32.403918917424235  ssim : 0.902334287856278
iter : 43  psnr : 32.41510562301683  ssim : 0.902526927487307
iter : 44  psnr : 32.42575740350965  ssim : 0.9026965829608226
iter : 45  psnr : 32.435527408568795  ssim : 0.902846571647382
iter : 46  psnr : 32.4437612185924  ssim : 0.9029788432225533
iter : 47  psnr : 32.4513825873276  ssim : 0.9030893751501049
iter : 48  psnr : 32.4581043100224  ssim : 0.9031865919942274
iter : 49  psnr : 32.46412638516533  ssim : 0.9032770316971074
iter : 50  psnr : 32.46958950694769  ssim : 0.903356405704048
iter : 51  psnr : 32.4748201748016  ssim : 0.9034326912081739
iter : 52  psnr : 32.48006377782855  ssim : 0.9035177611174541
iter : 53  psnr : 32.48478272525248  ssim : 0.9036001147222954
iter : 54  psnr : 32.48876050405501  ssim : 0.9036732012823797
iter : 55  psnr : 32.492278430271746  ssim : 0.903742298095952
iter : 56  psnr : 32.49534741347907  ssim : 0.9038018829838264
iter : 57  psnr : 32.49827433085344  ssim : 0.9038533583040878
iter : 58  psnr : 32.5011036913154  ssim : 0.9039038712913715
iter : 59  psnr : 32.503789849319034  ssim : 0.9039520024314803
iter : 60  psnr : 32.506337532609614  ssim : 0.9039944544094607
iter : 61  psnr : 32.508583973627886  ssim : 0.9040289807816032
iter : 62  psnr : 32.510525207442065  ssim : 0.9040565446559812
iter : 63  psnr : 32.51245823839244  ssim : 0.9040818315410151
iter : 64  psnr : 32.51417673723279  ssim : 0.9041042145226665
iter : 65  psnr : 32.51604696617317  ssim : 0.9041336207205641
iter : 66  psnr : 32.51810390197682  ssim : 0.9041689629382813
iter : 67  psnr : 32.52038027306461  ssim : 0.9042073337452817
iter : 68  psnr : 32.52230903079874  ssim : 0.9042423650355527
iter : 69  psnr : 32.52332160561003  ssim : 0.904260014230569
iter : 70  psnr : 32.52399287905417  ssim : 0.9042730246605994
iter : 71  psnr : 32.52460004019031  ssim : 0.9042871783899573
iter : 72  psnr : 32.52503253757543  ssim : 0.9042992984209822
iter : 73  psnr : 32.525499990416165  ssim : 0.9043135434099979
iter : 74  psnr : 32.5262983958211  ssim : 0.9043293653025862
iter : 75  psnr : 32.527040887890514  ssim : 0.9043426503389038
iter : 76  psnr : 32.52761424337067  ssim : 0.9043552774786244
iter : 77  psnr : 32.528215831796224  ssim : 0.9043714780991063
iter : 78  psnr : 32.528807582865305  ssim : 0.9043874310281484
iter : 79  psnr : 32.52919121797079  ssim : 0.9043971071857219
iter : 80  psnr : 32.529615651211195  ssim : 0.904406774258357
iter : 81  psnr : 32.53017294997599  ssim : 0.9044192214441356
iter : 82  psnr : 32.5307453707476  ssim : 0.9044307859912364
iter : 83  psnr : 32.53136474602515  ssim : 0.9044405587337396
iter : 84  psnr : 32.53219638502971  ssim : 0.9044547654972618
iter : 85  psnr : 32.53292273092854  ssim : 0.9044690052277937
iter : 86  psnr : 32.53323343251181  ssim : 0.9044781109108093
iter : 87  psnr : 32.533423133135585  ssim : 0.9044844027135833
iter : 88  psnr : 32.53373750568498  ssim : 0.9044919912502032
iter : 89  psnr : 32.53390783463077  ssim : 0.9044963314241005
iter : 90  psnr : 32.534077213500524  ssim : 0.9044985979526451
iter : 91  psnr : 32.5344901613306  ssim : 0.9045021428986714
iter : 92  psnr : 32.53498803419414  ssim : 0.9045047103685387
iter : 93  psnr : 32.53548822030601  ssim : 0.9045093004132239
iter : 94  psnr : 32.535776913373496  ssim : 0.904513657795928
iter : 95  psnr : 32.536033330092636  ssim : 0.9045208880089448
iter : 96  psnr : 32.5360937111316  ssim : 0.9045274290833992
iter : 97  psnr : 32.53596489690598  ssim : 0.9045300524009304
iter : 98  psnr : 32.536026426922014  ssim : 0.9045328373410914
iter : 99  psnr : 32.53610099928662  ssim : 0.9045358335772746
iter : 100  psnr : 32.53620717609924  ssim : 0.9045398594161769
iter : 101  psnr : 32.536437654708685  ssim : 0.9045458051609201
iter : 102  psnr : 32.53672227957973  ssim : 0.9045517236960398
iter : 103  psnr : 32.536974213750646  ssim : 0.9045563977266272
iter : 104  psnr : 32.53716667040494  ssim : 0.9045621009196233
iter : 105  psnr : 32.537258874892764  ssim : 0.9045663542889053
iter : 106  psnr : 32.537310222573  ssim : 0.9045697567030047
iter : 107  psnr : 32.537388638766636  ssim : 0.9045740662424919
iter : 108  psnr : 32.537598022667645  ssim : 0.9045785169055991
iter : 109  psnr : 32.537964938233614  ssim : 0.9045835750570647
iter : 110  psnr : 32.53835531088588  ssim : 0.9045887404871114
iter : 111  psnr : 32.538683018626074  ssim : 0.9045921517535919
iter : 112  psnr : 32.538888567235325  ssim : 0.9045929055676025
iter : 113  psnr : 32.538998056915695  ssim : 0.904593796594847
iter : 114  psnr : 32.539019830524964  ssim : 0.9045958107372294
iter : 115  psnr : 32.539069864371086  ssim : 0.9045975621025019
iter : 116  psnr : 32.5391523347031  ssim : 0.9045982697431618
iter : 117  psnr : 32.53921897593433  ssim : 0.9045992897522867
iter : 118  psnr : 32.5392315700232  ssim : 0.9045995907062456
iter : 119  psnr : 32.539174387855994  ssim : 0.9045989568965209
