iter : 0  psnr : 30.351591210327097  ssim : 0.7935940442704923
iter : 1  psnr : 30.28069793402869  ssim : 0.7899462022703955
iter : 2  psnr : 30.334282659447037  ssim : 0.7916521555321163
iter : 3  psnr : 30.313176632802605  ssim : 0.7910707575105068
iter : 4  psnr : 30.28410120201837  ssim : 0.7898130143441419
iter : 5  psnr : 30.290213644000573  ssim : 0.7897484559565208
iter : 6  psnr : 30.331327743708513  ssim : 0.7914454913967718
iter : 7  psnr : 30.416973342220217  ssim : 0.7953825294161688
iter : 8  psnr : 30.414790345567827  ssim : 0.7963237219366467
iter : 9  psnr : 30.434417135000484  ssim : 0.7980396823059129
iter : 10  psnr : 30.674257004479713  ssim : 0.8082240952588604
iter : 11  psnr : 30.89932880589358  ssim : 0.8180182357900441
iter : 12  psnr : 31.31683921022634  ssim : 0.8339880394674996
iter : 13  psnr : 31.565131475261367  ssim : 0.8414958260412927
iter : 14  psnr : 26.542595821569066  ssim : 0.6176107727566869
iter : 15  psnr : 28.419695807550234  ssim : 0.7071719536621691
iter : 16  psnr : 29.401478497852764  ssim : 0.7530852546537757
iter : 17  psnr : 30.042277841553503  ssim : 0.7834586499083913
iter : 18  psnr : 30.496762641867647  ssim : 0.8038442441297672
iter : 19  psnr : 30.917590163460275  ssim : 0.820865551864568
iter : 20  psnr : 31.29780796461528  ssim : 0.8348651822837584
iter : 21  psnr : 31.661280908676343  ssim : 0.8468676695080051
iter : 22  psnr : 31.974603926716455  ssim : 0.8564066908760994
iter : 23  psnr : 32.25974529590769  ssim : 0.8644956633751444
iter : 24  psnr : 32.5166277982784  ssim : 0.8713805591170678
iter : 25  psnr : 32.758762971021056  ssim : 0.8775143013842339
iter : 26  psnr : 33.00331694928724  ssim : 0.883529044175913
iter : 27  psnr : 33.217673621819884  ssim : 0.8887337844099925
iter : 28  psnr : 33.40835228920226  ssim : 0.8931965469231039
iter : 29  psnr : 33.584868556346485  ssim : 0.8972066314004378
iter : 30  psnr : 33.73947199864952  ssim : 0.9006557931604753
iter : 31  psnr : 33.87765145502745  ssim : 0.9036449421694993
iter : 32  psnr : 34.0002622768077  ssim : 0.9062098735081479
iter : 33  psnr : 34.10291440854378  ssim : 0.9083006925936343
