iter : 0  psnr : 28.456859000433287  ssim : 0.7863127035044942
iter : 1  psnr : 28.40870683710113  ssim : 0.7841627681703942
iter : 2  psnr : 28.438204591836012  ssim : 0.7852591640381986
iter : 3  psnr : 28.42646700077711  ssim : 0.7837821583117945
iter : 4  psnr : 28.4248620113636  ssim : 0.7844080579239767
iter : 5  psnr : 28.444060885060487  ssim : 0.7855359608221145
iter : 6  psnr : 28.44805435801222  ssim : 0.786192419609786
iter : 7  psnr : 28.52124531066633  ssim : 0.7901185767964919
iter : 8  psnr : 28.57891681453616  ssim : 0.7930545753418612
iter : 9  psnr : 28.631492897192462  ssim : 0.7956866250015817
iter : 10  psnr : 28.689721401414666  ssim : 0.7981349979696339
iter : 11  psnr : 28.71490575913476  ssim : 0.7991513862550124
iter : 12  psnr : 28.7800036797881  ssim : 0.8016663776654153
iter : 13  psnr : 28.904453637786503  ssim : 0.8066235232152438
iter : 14  psnr : 29.029058132480507  ssim : 0.8110802653999873
iter : 15  psnr : 29.166700896606244  ssim : 0.8161789884980897
iter : 16  psnr : 29.29168373310209  ssim : 0.821779339487412
iter : 17  psnr : 29.420533017916725  ssim : 0.8280884324812063
iter : 18  psnr : 29.59596467336461  ssim : 0.834666636576072
iter : 19  psnr : 29.855124233324304  ssim : 0.8428380776529023
iter : 20  psnr : 30.141588929894763  ssim : 0.8510353623456295
iter : 21  psnr : 30.389936993228343  ssim : 0.8582521619850174
iter : 22  psnr : 30.58889591842993  ssim : 0.8639805064868388
iter : 23  psnr : 30.769340082783344  ssim : 0.8688642856658549
iter : 24  psnr : 30.94171419531891  ssim : 0.8731577859084528
iter : 25  psnr : 31.111753123013187  ssim : 0.877062173541879
iter : 26  psnr : 31.261605967167363  ssim : 0.8803237474444608
iter : 27  psnr : 31.38942782568558  ssim : 0.8830259628555595
iter : 28  psnr : 31.507021440823053  ssim : 0.8854520051870097
iter : 29  psnr : 31.607437164139473  ssim : 0.8875507975070789
iter : 30  psnr : 31.694073972656767  ssim : 0.8893699499879728
iter : 31  psnr : 31.772322436707057  ssim : 0.8910089606505696
iter : 32  psnr : 31.84685715328977  ssim : 0.8925462070046324
iter : 33  psnr : 31.91231478656613  ssim : 0.8938686306416386
iter : 34  psnr : 31.972654020575018  ssim : 0.8950724076533069
iter : 35  psnr : 32.026219255063964  ssim : 0.8961154209436082
iter : 36  psnr : 32.072331165602066  ssim : 0.8970266323408064
