iter : 0  psnr : 30.01441210929162  ssim : 0.8041982965796152
iter : 1  psnr : 29.987532268855315  ssim : 0.8040472265538878
iter : 2  psnr : 30.032580191402648  ssim : 0.8062332875107164
iter : 3  psnr : 30.042939833088017  ssim : 0.8068966782283954
iter : 4  psnr : 30.103563163001  ssim : 0.8107424553665394
iter : 5  psnr : 30.170336123139826  ssim : 0.8152670055190626
iter : 6  psnr : 30.287424629515737  ssim : 0.8206062899479121
iter : 7  psnr : 30.49892680972406  ssim : 0.8296015293950139
iter : 8  psnr : 30.69513237113921  ssim : 0.8376232409229403
iter : 9  psnr : 30.957830981949286  ssim : 0.8474218068973322
iter : 10  psnr : 31.247890943949642  ssim : 0.8570571479273683
iter : 11  psnr : 31.579141219431012  ssim : 0.8668911094303269
iter : 12  psnr : 31.903385349629396  ssim : 0.8756276106722326
iter : 13  psnr : 32.212486974075865  ssim : 0.883237743993516
iter : 14  psnr : 32.4981234883002  ssim : 0.8897864274872174
iter : 15  psnr : 32.74430413801334  ssim : 0.8950418222002973
iter : 16  psnr : 32.97044844071244  ssim : 0.8995454137204925
iter : 17  psnr : 33.170315087902175  ssim : 0.9032714499425376
iter : 18  psnr : 33.32700294008205  ssim : 0.9060341302988386
iter : 19  psnr : 33.45615703710598  ssim : 0.9082174533539983
iter : 20  psnr : 33.56205847162535  ssim : 0.9099404957623851
iter : 21  psnr : 33.63469027699147  ssim : 0.9110830473494591
iter : 22  psnr : 33.687072198126124  ssim : 0.9119057348971948
iter : 23  psnr : 33.73241245413224  ssim : 0.9126138100253418
iter : 24  psnr : 33.77006193331875  ssim : 0.9131946599500447
iter : 25  psnr : 33.80257225114463  ssim : 0.9136935455269617
iter : 26  psnr : 33.831783238299316  ssim : 0.914132524104694
iter : 27  psnr : 33.864398300311365  ssim : 0.9146356430349052
iter : 28  psnr : 33.892292748779596  ssim : 0.9150635287985601
iter : 29  psnr : 33.91768615685575  ssim : 0.915456910252903
iter : 30  psnr : 33.94005209083707  ssim : 0.9158115647958474
iter : 31  psnr : 33.958508181834226  ssim : 0.9161012067634203
iter : 32  psnr : 33.9739885568195  ssim : 0.916334531684957
iter : 33  psnr : 33.98738530470672  ssim : 0.916523384844211
iter : 34  psnr : 33.999154078306056  ssim : 0.9166895301994669
iter : 35  psnr : 34.009308661046184  ssim : 0.9168357022161465
iter : 36  psnr : 34.01753647891291  ssim : 0.9169589883760745
iter : 37  psnr : 34.02478111063709  ssim : 0.9170738564373502
iter : 38  psnr : 34.0313545753565  ssim : 0.9171718861169038
iter : 39  psnr : 34.03676081128492  ssim : 0.9172477832301404
iter : 40  psnr : 34.04035311739282  ssim : 0.9173031690981733
iter : 41  psnr : 34.04344092824248  ssim : 0.9173565360697261
iter : 42  psnr : 34.046203681202826  ssim : 0.9173994635169777
iter : 43  psnr : 34.04902787597691  ssim : 0.9174374999844187
iter : 44  psnr : 34.051208834010595  ssim : 0.9174691393757274
iter : 45  psnr : 34.052767252090035  ssim : 0.9174922039174171
iter : 46  psnr : 34.05413279778908  ssim : 0.9175117671637426
iter : 47  psnr : 34.05540279765842  ssim : 0.9175283469901461
iter : 48  psnr : 34.05611461600594  ssim : 0.9175389955745739
iter : 49  psnr : 34.056665487653554  ssim : 0.9175462939856222
iter : 50  psnr : 34.05751900932345  ssim : 0.9175581280121794
iter : 51  psnr : 34.05825378471425  ssim : 0.9175743741454476
iter : 52  psnr : 34.05883340421247  ssim : 0.9175922970528796
iter : 53  psnr : 34.059196947642945  ssim : 0.9176046184237451
iter : 54  psnr : 34.059296817528434  ssim : 0.9176107094571646
iter : 55  psnr : 34.05953388837519  ssim : 0.9176164431255992
iter : 56  psnr : 34.05958488310448  ssim : 0.9176207090284143
iter : 57  psnr : 34.059361643115494  ssim : 0.9176189963899346
iter : 58  psnr : 34.05884193791465  ssim : 0.9176108202885456
iter : 59  psnr : 34.05809266910408  ssim : 0.9176020133184724
iter : 60  psnr : 34.057614601291235  ssim : 0.9176015056003733
iter : 61  psnr : 34.057698328383324  ssim : 0.9176085791926859
iter : 62  psnr : 34.05788479486374  ssim : 0.9176134909917456
iter : 63  psnr : 34.05791171461905  ssim : 0.9176155052343791
iter : 64  psnr : 34.057755225880015  ssim : 0.917617165629307
iter : 65  psnr : 34.05755697026815  ssim : 0.9176199384110524
iter : 66  psnr : 34.05729427915121  ssim : 0.9176228184374422
iter : 67  psnr : 34.056711738401106  ssim : 0.917620362653408
iter : 68  psnr : 34.05633916521913  ssim : 0.9176203876884947
iter : 69  psnr : 34.05617289074836  ssim : 0.9176236796564644
iter : 70  psnr : 34.056012594264125  ssim : 0.917627313244692
iter : 71  psnr : 34.055951563729586  ssim : 0.9176317977157705
iter : 72  psnr : 34.055886478708395  ssim : 0.917635001962841
iter : 73  psnr : 34.055737516121006  ssim : 0.9176376846223283
iter : 74  psnr : 34.05557083474452  ssim : 0.9176390149201209
iter : 75  psnr : 34.05547126249082  ssim : 0.9176390036232868
iter : 76  psnr : 34.05555427187092  ssim : 0.9176417345934602
iter : 77  psnr : 34.055732705263864  ssim : 0.9176463233375947
iter : 78  psnr : 34.0557767871867  ssim : 0.9176490617932422
iter : 79  psnr : 34.05560508974148  ssim : 0.9176492751810703
iter : 80  psnr : 34.05525022973924  ssim : 0.9176481103770645
iter : 81  psnr : 34.05493241542823  ssim : 0.9176456062760965
iter : 82  psnr : 34.054621133429805  ssim : 0.917642092953393
iter : 83  psnr : 34.05415153480918  ssim : 0.9176378743205792
iter : 84  psnr : 34.05372530008388  ssim : 0.9176341624127627
iter : 85  psnr : 34.05341727963064  ssim : 0.9176295834537141
iter : 86  psnr : 34.05306782923951  ssim : 0.9176226589188183
iter : 87  psnr : 34.05259919049095  ssim : 0.9176168063394827
iter : 88  psnr : 34.05204815826697  ssim : 0.9176106453177879
iter : 89  psnr : 34.051641832775815  ssim : 0.9176044995672493
iter : 90  psnr : 34.05122210134009  ssim : 0.9175962603710301
iter : 91  psnr : 34.050792786159015  ssim : 0.9175880575214419
iter : 92  psnr : 34.05043956200024  ssim : 0.9175804232194543
iter : 93  psnr : 34.04997349261547  ssim : 0.9175700701137749
iter : 94  psnr : 34.04944575818164  ssim : 0.9175595506697692
iter : 95  psnr : 34.04895489308862  ssim : 0.9175515464786034
iter : 96  psnr : 34.048591539342  ssim : 0.9175453018961401
iter : 97  psnr : 34.04830926210353  ssim : 0.9175396269877788
iter : 98  psnr : 34.04807871364186  ssim : 0.9175340401388076
iter : 99  psnr : 34.047791037769166  ssim : 0.9175272200208436
iter : 100  psnr : 34.04770629490105  ssim : 0.9175254036355676
iter : 101  psnr : 34.04775226014425  ssim : 0.9175278044984736
iter : 102  psnr : 34.04772372816574  ssim : 0.9175291135884296
iter : 103  psnr : 34.04758543784137  ssim : 0.917525486487752
iter : 104  psnr : 34.04741583406981  ssim : 0.9175209456589148
