iter : 0  psnr : 29.11456060760746  ssim : 0.7750173200050644
iter : 1  psnr : 29.107551332980567  ssim : 0.7739937245793835
iter : 2  psnr : 29.224090683238128  ssim : 0.7795931665919815
iter : 3  psnr : 29.232633910199382  ssim : 0.7796510053227323
iter : 4  psnr : 29.33005190447991  ssim : 0.7841589988414002
iter : 5  psnr : 29.410558884643937  ssim : 0.7877431955048796
iter : 6  psnr : 29.53251337581984  ssim : 0.7933154039209099
iter : 7  psnr : 29.638637830725713  ssim : 0.7979600743011247
iter : 8  psnr : 29.696683556004828  ssim : 0.8010341278916383
iter : 9  psnr : 29.84370896040351  ssim : 0.8074145165572816
iter : 10  psnr : 30.003149673212945  ssim : 0.8138961123083613
iter : 11  psnr : 30.19210354965391  ssim : 0.8213446406172562
iter : 12  psnr : 30.436169000567062  ssim : 0.8303347595169048
iter : 13  psnr : 30.721290234089857  ssim : 0.8400904785544102
iter : 14  psnr : 31.04893204168528  ssim : 0.8508282610543313
iter : 15  psnr : 31.35254184273519  ssim : 0.8601132443359538
iter : 16  psnr : 31.626326591013335  ssim : 0.8675820059435979
iter : 17  psnr : 31.875419637562135  ssim : 0.8740304512627186
iter : 18  psnr : 32.063214004607346  ssim : 0.8787274950210345
iter : 19  psnr : 32.223497893647504  ssim : 0.8825730662819261
iter : 20  psnr : 32.36101583542848  ssim : 0.8857248818233009
iter : 21  psnr : 32.492314343851746  ssim : 0.8886427554271369
iter : 22  psnr : 32.624597739127424  ssim : 0.8914316504111562
iter : 23  psnr : 32.74148578363062  ssim : 0.8938129378867179
iter : 24  psnr : 32.84372024359196  ssim : 0.89591259692932
iter : 25  psnr : 32.93866514737486  ssim : 0.8978185371266697
iter : 26  psnr : 33.026123207523966  ssim : 0.8995232104510058
iter : 27  psnr : 33.103895781849076  ssim : 0.9010183893783016
iter : 28  psnr : 33.175140022207145  ssim : 0.9024133328905019
iter : 29  psnr : 33.239166467872344  ssim : 0.9036845420137934
iter : 30  psnr : 33.298003473079135  ssim : 0.9048617817553292
iter : 31  psnr : 33.348964362256716  ssim : 0.9058689809306604
iter : 32  psnr : 33.395170986862276  ssim : 0.9067315859290781
iter : 33  psnr : 33.43551028426432  ssim : 0.9074607069593977
iter : 34  psnr : 33.469660515707275  ssim : 0.9080979853167555
iter : 35  psnr : 33.49946951441878  ssim : 0.9086464420998868
iter : 36  psnr : 33.52563022497129  ssim : 0.909117515402386
iter : 37  psnr : 33.5494030137508  ssim : 0.9095535253447696
iter : 38  psnr : 33.57119898971462  ssim : 0.909954392628883
iter : 39  psnr : 33.590734230932554  ssim : 0.910310710434393
iter : 40  psnr : 33.6085970049054  ssim : 0.9106271372990864
iter : 41  psnr : 33.62508329430196  ssim : 0.9109080900075216
iter : 42  psnr : 33.63942797705622  ssim : 0.911146826705005
iter : 43  psnr : 33.6511677522183  ssim : 0.9113488145169951
iter : 44  psnr : 33.66104355033962  ssim : 0.9115244217887486
iter : 45  psnr : 33.67080350415296  ssim : 0.9116988323478287
iter : 46  psnr : 33.680432560875346  ssim : 0.9118690607383136
iter : 47  psnr : 33.69029114059718  ssim : 0.9120313041226739
iter : 48  psnr : 33.69924520636606  ssim : 0.9121681043835147
iter : 49  psnr : 33.706769202777565  ssim : 0.9122803652621524
iter : 50  psnr : 33.71422449233836  ssim : 0.9123909162902222
iter : 51  psnr : 33.72021530968393  ssim : 0.9124808711989992
iter : 52  psnr : 33.725928207390766  ssim : 0.9125666652545154
iter : 53  psnr : 33.731979176755644  ssim : 0.9126633736355453
iter : 54  psnr : 33.737739655773964  ssim : 0.9127597389159968
iter : 55  psnr : 33.74328027237539  ssim : 0.9128522479115072
iter : 56  psnr : 33.74823284731428  ssim : 0.9129290315187152
iter : 57  psnr : 33.75282271131373  ssim : 0.9129944954422999
iter : 58  psnr : 33.7576557022961  ssim : 0.9130622612359818
iter : 59  psnr : 33.76189135516285  ssim : 0.9131179335256449
iter : 60  psnr : 33.76550750893934  ssim : 0.9131620468326096
iter : 61  psnr : 33.76847682089915  ssim : 0.9131990912738261
iter : 62  psnr : 33.77141293059515  ssim : 0.9132393235152074
iter : 63  psnr : 33.7742068873144  ssim : 0.91327788006584
iter : 64  psnr : 33.776704707078686  ssim : 0.9133115929509922
iter : 65  psnr : 33.77928952760864  ssim : 0.9133491159149569
iter : 66  psnr : 33.7821762045511  ssim : 0.9133941313428954
iter : 67  psnr : 33.785121715585554  ssim : 0.9134395273756238
iter : 68  psnr : 33.78795067717472  ssim : 0.9134827409175087
iter : 69  psnr : 33.790733095064354  ssim : 0.9135233823568959
iter : 70  psnr : 33.79309463219053  ssim : 0.9135562583967797
iter : 71  psnr : 33.795204023299306  ssim : 0.9135841000024972
iter : 72  psnr : 33.79733126805985  ssim : 0.913615926354444
iter : 73  psnr : 33.79950522003131  ssim : 0.91364960296462
iter : 74  psnr : 33.80151696436447  ssim : 0.9136810741366755
iter : 75  psnr : 33.80356474368434  ssim : 0.9137134627765133
iter : 76  psnr : 33.80569200045595  ssim : 0.9137425053795034
iter : 77  psnr : 33.80779447952043  ssim : 0.9137695435269373
iter : 78  psnr : 33.80976564904428  ssim : 0.9137947333583141
iter : 79  psnr : 33.81152430986343  ssim : 0.9138171959002234
iter : 80  psnr : 33.81326985106649  ssim : 0.9138384276265995
iter : 81  psnr : 33.815373742145184  ssim : 0.9138670018271906
iter : 82  psnr : 33.817526683705  ssim : 0.9138998188819597
iter : 83  psnr : 33.81942509183596  ssim : 0.9139265636967117
iter : 84  psnr : 33.821189226230516  ssim : 0.9139482670477641
iter : 85  psnr : 33.822770817437856  ssim : 0.9139670194315749
iter : 86  psnr : 33.82408322965952  ssim : 0.9139844338863753
iter : 87  psnr : 33.8251123994106  ssim : 0.9139998381026263
iter : 88  psnr : 33.826560838697105  ssim : 0.9140215333523506
iter : 89  psnr : 33.82802245190278  ssim : 0.9140426396124716
iter : 90  psnr : 33.829229674792835  ssim : 0.9140583494806661
iter : 91  psnr : 33.83044605041193  ssim : 0.914073967426423
iter : 92  psnr : 33.831746528216506  ssim : 0.914092486884502
iter : 93  psnr : 33.832873051903675  ssim : 0.914108916481317
iter : 94  psnr : 33.8337696669242  ssim : 0.9141207599005706
iter : 95  psnr : 33.83453603880597  ssim : 0.9141296937272825
iter : 96  psnr : 33.835459057871496  ssim : 0.9141412501927142
iter : 97  psnr : 33.83648823202899  ssim : 0.9141561947545835
iter : 98  psnr : 33.83739588464166  ssim : 0.9141686979830371
iter : 99  psnr : 33.83835231468403  ssim : 0.9141819875297986
iter : 100  psnr : 33.83936129554061  ssim : 0.9141969675608358
iter : 101  psnr : 33.840287513687244  ssim : 0.9142099528039201
iter : 102  psnr : 33.84093610299419  ssim : 0.9142179850988438
iter : 103  psnr : 33.841304244363016  ssim : 0.9142229698034003
iter : 104  psnr : 33.84159073124949  ssim : 0.9142273831107335
iter : 105  psnr : 33.84188726873219  ssim : 0.9142320279007421
iter : 106  psnr : 33.84241778931374  ssim : 0.9142395313682535
iter : 107  psnr : 33.84313954567054  ssim : 0.9142499547998612
iter : 108  psnr : 33.84376460491383  ssim : 0.9142586364173968
iter : 109  psnr : 33.8441006506027  ssim : 0.9142617974484475
iter : 110  psnr : 33.844380993553195  ssim : 0.9142630835703718
iter : 111  psnr : 33.84478186164753  ssim : 0.9142663264906732
iter : 112  psnr : 33.845378272037564  ssim : 0.9142729251131492
iter : 113  psnr : 33.846034354598245  ssim : 0.9142823833976024
iter : 114  psnr : 33.84641844559851  ssim : 0.9142893087912581
iter : 115  psnr : 33.84662373147082  ssim : 0.9142937713027526
iter : 116  psnr : 33.84676448943016  ssim : 0.9142973150051794
iter : 117  psnr : 33.846986704867405  ssim : 0.9143013103872621
iter : 118  psnr : 33.847115332192516  ssim : 0.9143030429791584
iter : 119  psnr : 33.84728733959425  ssim : 0.9143061326253384
