iter : 0  psnr : 27.50950159720249  ssim : 0.7624250363378584
iter : 1  psnr : 27.430618675290685  ssim : 0.7585799713255701
iter : 2  psnr : 27.4910149537116  ssim : 0.760413723912284
iter : 3  psnr : 27.504072377188734  ssim : 0.7607358591949271
iter : 4  psnr : 27.341478054233555  ssim : 0.753594680667946
iter : 5  psnr : 27.288790183442412  ssim : 0.7524870317129013
iter : 6  psnr : 27.226123587023178  ssim : 0.7499944783775213
iter : 7  psnr : 27.177564294837477  ssim : 0.7487012503206516
iter : 8  psnr : 27.26542966879325  ssim : 0.7539187119587799
iter : 9  psnr : 27.33237033160803  ssim : 0.7569340091397457
iter : 10  psnr : 27.320185042191834  ssim : 0.757576359593366
iter : 11  psnr : 27.534050893127482  ssim : 0.7681106425012999
iter : 12  psnr : 27.728627295689414  ssim : 0.7785830127192376
iter : 13  psnr : 28.01971139282545  ssim : 0.7925312413956292
iter : 14  psnr : 28.408916330285386  ssim : 0.8073487331026222
iter : 15  psnr : 28.787525414859296  ssim : 0.8217966705650086
iter : 16  psnr : 29.113456678837835  ssim : 0.8336491483217998
iter : 17  psnr : 29.332030016447735  ssim : 0.8414675390283507
iter : 18  psnr : 29.502440488488553  ssim : 0.8473318200968697
iter : 19  psnr : 29.673935997573288  ssim : 0.8526313986520865
iter : 20  psnr : 29.846390490319852  ssim : 0.8573363538966208
iter : 21  psnr : 30.00419791530099  ssim : 0.8613297648529202
iter : 22  psnr : 30.12964906856859  ssim : 0.8644329396095288
iter : 23  psnr : 30.228038647858433  ssim : 0.8668389825405989
iter : 24  psnr : 30.312992539778946  ssim : 0.868947466129453
iter : 25  psnr : 30.387003257889596  ssim : 0.8707908263831945
iter : 26  psnr : 30.449921974488767  ssim : 0.8723321245708269
iter : 27  psnr : 30.503880494948568  ssim : 0.873663331141664
iter : 28  psnr : 30.547263152307764  ssim : 0.8747383275106495
iter : 29  psnr : 30.585810233130598  ssim : 0.8756781093859519
iter : 30  psnr : 30.618996005205965  ssim : 0.8764835398413021
iter : 31  psnr : 30.64784603133444  ssim : 0.8771874976361883
iter : 32  psnr : 30.672675837611806  ssim : 0.8777800158094969
iter : 33  psnr : 30.692417544345155  ssim : 0.8782360559652486
iter : 34  psnr : 30.70921572520315  ssim : 0.8786187349515037
iter : 35  psnr : 30.72268333832507  ssim : 0.8789084513996132
iter : 36  psnr : 30.731828712931964  ssim : 0.8790801753938688
iter : 37  psnr : 30.73926101356248  ssim : 0.8792096877873816
iter : 38  psnr : 30.746772844131264  ssim : 0.879333356658254
iter : 39  psnr : 30.75325257506602  ssim : 0.8794325041306605
iter : 40  psnr : 30.758344600084506  ssim : 0.8795036588092311
iter : 41  psnr : 30.76255745295444  ssim : 0.8795581687170027
iter : 42  psnr : 30.76627994674579  ssim : 0.8796045873121741
iter : 43  psnr : 30.769378566421395  ssim : 0.8796342114727653
iter : 44  psnr : 30.77193987667514  ssim : 0.8796544432211666
iter : 45  psnr : 30.77408038138168  ssim : 0.8796656044342053
iter : 46  psnr : 30.77613912970923  ssim : 0.8796767190831302
iter : 47  psnr : 30.778000828858254  ssim : 0.8796824947147028
iter : 48  psnr : 30.779331944625334  ssim : 0.8796863612453693
iter : 49  psnr : 30.780326958872493  ssim : 0.87969081419393
iter : 50  psnr : 30.78151620833951  ssim : 0.8797071249862691
iter : 51  psnr : 30.782963089153967  ssim : 0.8797264001044454
iter : 52  psnr : 30.783807633869586  ssim : 0.879717227663477
iter : 53  psnr : 30.78418954125688  ssim : 0.8796987699205628
iter : 54  psnr : 30.78427667764099  ssim : 0.879681002401495
iter : 55  psnr : 30.784067976986552  ssim : 0.8796635253315728
iter : 56  psnr : 30.78394202649834  ssim : 0.8796447615251413
iter : 57  psnr : 30.783828564434053  ssim : 0.8796265117642017
iter : 58  psnr : 30.78362966519323  ssim : 0.8796091987138583
iter : 59  psnr : 30.783145285583778  ssim : 0.8795866351378439
iter : 60  psnr : 30.7825575844279  ssim : 0.8795624513651793
iter : 61  psnr : 30.782043481442813  ssim : 0.8795400397485529
iter : 62  psnr : 30.781848713674044  ssim : 0.8795300611756677
iter : 63  psnr : 30.781876976370178  ssim : 0.8795294901627377
iter : 64  psnr : 30.781655533974515  ssim : 0.8795216528674435
iter : 65  psnr : 30.78123879612796  ssim : 0.8795098210212723
iter : 66  psnr : 30.780860307407693  ssim : 0.8794985304342501
iter : 67  psnr : 30.780570824128507  ssim : 0.8794861525757145
iter : 68  psnr : 30.780211678916878  ssim : 0.8794728253770822
iter : 69  psnr : 30.779439841026743  ssim : 0.8794556191768723
iter : 70  psnr : 30.778587021386585  ssim : 0.8794376277466359
iter : 71  psnr : 30.77813288491864  ssim : 0.8794254716759963
iter : 72  psnr : 30.77770474956673  ssim : 0.8794134166708747
iter : 73  psnr : 30.777251672917384  ssim : 0.8794007732150901
iter : 74  psnr : 30.77677639674306  ssim : 0.8793862598840971
iter : 75  psnr : 30.776336192161132  ssim : 0.8793726953698878
iter : 76  psnr : 30.77590756100379  ssim : 0.8793565281920378
iter : 77  psnr : 30.775238603694742  ssim : 0.8793319481618083
iter : 78  psnr : 30.77464879090492  ssim : 0.8793082228358716
iter : 79  psnr : 30.77411639826454  ssim : 0.8792886522745662
iter : 80  psnr : 30.773463783192533  ssim : 0.8792696545645614
iter : 81  psnr : 30.77292532875579  ssim : 0.8792534497716227
iter : 82  psnr : 30.772618115577796  ssim : 0.8792396559335347
iter : 83  psnr : 30.772289503691628  ssim : 0.8792265221753546
iter : 84  psnr : 30.771757587070283  ssim : 0.8792113718471111
iter : 85  psnr : 30.77120763342588  ssim : 0.879198243405089
iter : 86  psnr : 30.770831071146088  ssim : 0.8791888856572941
iter : 87  psnr : 30.770356443929195  ssim : 0.8791742583236886
iter : 88  psnr : 30.769873149789507  ssim : 0.8791574551611113
iter : 89  psnr : 30.769389180223605  ssim : 0.8791397371043385
iter : 90  psnr : 30.768845397336648  ssim : 0.879122759865172
iter : 91  psnr : 30.768361319492424  ssim : 0.8791080208937685
iter : 92  psnr : 30.768002386649115  ssim : 0.8790962690686265
iter : 93  psnr : 30.767540250085897  ssim : 0.8790826902918818
iter : 94  psnr : 30.767005090125522  ssim : 0.8790675135917247
iter : 95  psnr : 30.76656379752101  ssim : 0.8790552467760494
iter : 96  psnr : 30.76621372861804  ssim : 0.8790450849280739
iter : 97  psnr : 30.765907431433675  ssim : 0.8790351597323889
iter : 98  psnr : 30.765659294324415  ssim : 0.8790252826201786
