iter : 0  psnr : 29.13399059222669  ssim : 0.7727166175756677
iter : 1  psnr : 29.184124922485168  ssim : 0.7745428884532939
iter : 2  psnr : 29.126586701915677  ssim : 0.7717727718703777
iter : 3  psnr : 29.15605553622932  ssim : 0.7720753409970675
iter : 4  psnr : 29.303064926446076  ssim : 0.7784080182311403
iter : 5  psnr : 29.403030161455636  ssim : 0.7831514002752336
iter : 6  psnr : 29.59343808820151  ssim : 0.790848370635241
iter : 7  psnr : 29.873635154079025  ssim : 0.8016407923649772
iter : 8  psnr : 30.225970813847695  ssim : 0.8147535676408493
iter : 9  psnr : 30.659920863150113  ssim : 0.8296961925712236
iter : 10  psnr : 31.1139468032589  ssim : 0.844513022590798
iter : 11  psnr : 31.444869426233353  ssim : 0.85402990480827
iter : 12  psnr : 31.663351779908382  ssim : 0.8598513792787766
iter : 13  psnr : 31.8185481187515  ssim : 0.8636942571720246
iter : 14  psnr : 31.938017644450667  ssim : 0.8667478373301547
iter : 15  psnr : 32.10159780409925  ssim : 0.8707526272572241
iter : 16  psnr : 32.26171085026185  ssim : 0.8744520482330962
iter : 17  psnr : 32.40477782730705  ssim : 0.8776917962591503
iter : 18  psnr : 32.523682532830456  ssim : 0.8802729142041834
iter : 19  psnr : 32.624228175391195  ssim : 0.8822993264723701
iter : 20  psnr : 32.70509549914131  ssim : 0.8839699770469255
iter : 21  psnr : 32.78063727797012  ssim : 0.885646446855742
iter : 22  psnr : 32.848198448758744  ssim : 0.8871914725022011
iter : 23  psnr : 32.90973426860699  ssim : 0.8886086954653633
iter : 24  psnr : 32.96951258197191  ssim : 0.8899692021549462
iter : 25  psnr : 33.02331367231365  ssim : 0.8911915066177973
iter : 26  psnr : 33.07228840599028  ssim : 0.8922757794721162
iter : 27  psnr : 33.11543138597499  ssim : 0.8931930756295055
iter : 28  psnr : 33.15367978755559  ssim : 0.8940063581245287
iter : 29  psnr : 33.182207064193456  ssim : 0.894629967924514
iter : 30  psnr : 33.208655443623904  ssim : 0.895201250912202
iter : 31  psnr : 33.232637121571436  ssim : 0.8957076566617653
iter : 32  psnr : 33.25420972795677  ssim : 0.8961577259065299
iter : 33  psnr : 33.272851715991244  ssim : 0.8965360091316043
iter : 34  psnr : 33.290456724369506  ssim : 0.8968824601585603
iter : 35  psnr : 33.30469281538904  ssim : 0.8971631187657185
iter : 36  psnr : 33.3182010900209  ssim : 0.8974314413551802
iter : 37  psnr : 33.332272495729484  ssim : 0.8977067508828914
iter : 38  psnr : 33.34600406923638  ssim : 0.8979688561047713
iter : 39  psnr : 33.3572827245602  ssim : 0.8981777418170431
iter : 40  psnr : 33.366479822927616  ssim : 0.8983517819707186
iter : 41  psnr : 33.37484534983433  ssim : 0.8985101507258245
iter : 42  psnr : 33.38296271054479  ssim : 0.8986651496957906
iter : 43  psnr : 33.38994222998785  ssim : 0.898798014524099
iter : 44  psnr : 33.39644163660615  ssim : 0.8989177466933377
iter : 45  psnr : 33.401753995083084  ssim : 0.899005749178605
iter : 46  psnr : 33.407270818845916  ssim : 0.8990923555413817
iter : 47  psnr : 33.412686681363716  ssim : 0.8991806497352866
iter : 48  psnr : 33.41766376110111  ssim : 0.8992624941421778
iter : 49  psnr : 33.422592033270824  ssim : 0.8993463358672175
iter : 50  psnr : 33.42730702983876  ssim : 0.8994277357833059
iter : 51  psnr : 33.43149630941842  ssim : 0.8995030833169902
iter : 52  psnr : 33.43574784527212  ssim : 0.8995751250656104
iter : 53  psnr : 33.439816961178124  ssim : 0.8996418568867219
iter : 54  psnr : 33.443422388534614  ssim : 0.8997007780336496
iter : 55  psnr : 33.44708119093405  ssim : 0.8997635115433248
iter : 56  psnr : 33.450481735089326  ssim : 0.8998256781975218
iter : 57  psnr : 33.45350157894409  ssim : 0.8998790312145669
iter : 58  psnr : 33.456186270407564  ssim : 0.8999225573896747
iter : 59  psnr : 33.45860219085018  ssim : 0.8999584936067783
