iter : 0  psnr : 32.19297912461069  ssim : 0.8512298526886733
iter : 1  psnr : 31.969746183844148  ssim : 0.8433842626572028
iter : 2  psnr : 32.18304424652285  ssim : 0.8530713362759119
iter : 3  psnr : 32.88878836254766  ssim : 0.8753592821298093
iter : 4  psnr : 33.611397077730615  ssim : 0.8940575042858706
iter : 5  psnr : 34.17109827028255  ssim : 0.906369192581689
iter : 6  psnr : 34.61479002931136  ssim : 0.9149431733964314
iter : 7  psnr : 34.94577016660579  ssim : 0.9206932490080251
iter : 8  psnr : 35.20088659879321  ssim : 0.9247292495465269
iter : 9  psnr : 35.3863978506891  ssim : 0.9275168956594598
iter : 10  psnr : 35.51986618806316  ssim : 0.9294235194177728
iter : 11  psnr : 35.615109921957796  ssim : 0.9307259023542924
iter : 12  psnr : 35.68293089289305  ssim : 0.9315935615013852
iter : 13  psnr : 35.72385807727529  ssim : 0.9320816003510931
iter : 14  psnr : 35.75428835675722  ssim : 0.9324327315587112
iter : 15  psnr : 35.77216433131345  ssim : 0.9325993649513435
iter : 16  psnr : 35.78040783128087  ssim : 0.9326418395090302
iter : 17  psnr : 35.78088321406159  ssim : 0.9325814322236639
iter : 18  psnr : 35.777279311286875  ssim : 0.9324550253176971
iter : 19  psnr : 35.77081462325872  ssim : 0.9322997579521174
iter : 20  psnr : 35.76170902510134  ssim : 0.9321331610916113
iter : 21  psnr : 35.750856073329004  ssim : 0.9319525666225147
iter : 22  psnr : 35.74167732890228  ssim : 0.9317845821998082
iter : 23  psnr : 35.73316619803617  ssim : 0.9316179293636192
iter : 24  psnr : 35.724273559157076  ssim : 0.9314687543463974
iter : 25  psnr : 35.713523365240135  ssim : 0.9313061603799669
iter : 26  psnr : 35.70367564373902  ssim : 0.931162784566507
iter : 27  psnr : 35.69386833160426  ssim : 0.931018685802663
iter : 28  psnr : 35.684557717926864  ssim : 0.9308735350608374
iter : 29  psnr : 35.67599346034487  ssim : 0.930737150845665
